group,arch,subset,ntasks,trait,n,canonical_r2,pearson_r,bf10_greater,perm_p,bf10_twosided
openness,idrnn,t0,1,BIG5_open,236,0.024317989035283483,0.15843291502119797,3.088419809578962,0.008999100089991,1.5560838702017954
openness,idrnn,t1,1,BIG5_open,236,0.019793178423216262,0.14408599030211527,1.8332624938151105,0.016198380161983803,0.9294227881893736
openness,idrnn,t2,1,BIG5_open,236,0.013001280496922618,0.11554340645156537,0.7450102335161919,0.04079592040795921,0.387566131953196
openness,idrnn,t01,2,BIG5_open,236,0.022784609804108458,0.15102057249633388,2.3448093254636397,0.0110988901109889,1.18473697465134
openness,idrnn,t02,2,BIG5_open,236,0.03746995456884539,0.19357229337403595,13.670946872867882,0.0020997900209979003,6.845546216771035
openness,idrnn,t12,2,BIG5_open,236,0.017590530913413227,0.13391434307294964,1.3032646642206764,0.023797620237976203,0.6651569588511512
openness,idrnn,t012,3,BIG5_open,236,0.033502681748773244,0.18321590803411306,8.541043061370962,0.0028997100289971,4.281069515665198
openness,vanilla,t0,1,BIG5_open,236,0.01861488148858237,0.1374970783876412,1.465828045477725,0.017198280171982803,0.746171852567713
openness,vanilla,t1,1,BIG5_open,236,-0.014857670046059646,-0.23655999495121546,0.016937103856434987,0.9999000099990001,64.975787082762
openness,vanilla,t2,1,BIG5_open,236,0.011352317559739311,0.11260183220144641,0.6856605351341898,0.043195680431956804,0.3581668541368433
openness,vanilla,t01,2,BIG5_open,236,0.0036567892370182875,0.0606131001199044,0.2053637308091228,0.17328267173282672,0.12491126904557001
openness,vanilla,t02,2,BIG5_open,236,0.029011249109666126,0.17079423968173155,5.034014728450036,0.0044995500449955,2.5281834825506757
openness,vanilla,t12,2,BIG5_open,236,-0.008546228808261835,-0.07833824895163737,0.03870752579995079,0.8902109789021098,0.16646066155223763
openness,vanilla,t012,3,BIG5_open,236,0.010508977060030844,0.10259552528258467,0.5236530284622853,0.060993900609939006,0.2781719864286375
wm,idrnn,t0,1,WM_composite,175,0.01246018795084769,0.11233853148548074,0.5210828710691762,0.0730926907309269,0.2803160438601696
wm,idrnn,t0,1,WM_WMU,175,0.024120312260927923,0.15531318963626758,1.495715766689676,0.022397760223977603,0.7636185933787224
wm,idrnn,t0,1,WM_SS,175,0.017468533950833476,0.1325237978476323,0.8257732421324215,0.039396060393960604,0.4305712383842807
wm,idrnn,t1,1,WM_composite,175,0.010112503678432083,0.10240679777589017,0.4242160262864231,0.09929007099290071,0.23307914498167176
wm,idrnn,t1,1,WM_WMU,175,-0.00524624443657995,-0.007970944152553335,0.08723544810213536,0.5474452554744526,0.09512189674176551
wm,idrnn,t1,1,WM_SS,175,0.040436659904790284,0.20195061299318137,6.63550799367804,0.0046995300469953,3.330578953296015
wm,idrnn,t2,1,WM_composite,175,0.12986196166665687,0.36043370213476594,27909.777717333032,9.999000099990002e-05,13954.896574177921
wm,idrnn,t2,1,WM_WMU,175,0.12689839222281962,0.35990669326925107,26887.760772948102,9.999000099990002e-05,13443.888112428318
wm,idrnn,t2,1,WM_SS,175,0.16028387451178738,0.40096833842301244,612568.5238491015,9.999000099990002e-05,306284.26891138055
wm,idrnn,t01,2,WM_composite,175,0.014026902102597605,0.12037414019712955,0.6215254124524203,0.057694230576942306,0.329654878113517
wm,idrnn,t01,2,WM_WMU,175,0.018545293793942097,0.13662007665528503,0.9133220071492173,0.039996000399960006,0.4739693040434002
wm,idrnn,t01,2,WM_SS,175,0.012577049596716572,0.11402613857685652,0.5403305896362698,0.0678932106789321,0.28974856445033
wm,idrnn,t02,2,WM_composite,175,0.10322366186238419,0.321328118939154,2112.3168610902862,9.999000099990002e-05,1056.1670027586424
wm,idrnn,t02,2,WM_WMU,175,0.10338653071133319,0.3215855843368155,2145.930775353501,9.999000099990002e-05,1072.9739536526617
wm,idrnn,t02,2,WM_SS,175,0.11028574795090496,0.33211945436322143,4149.3657476401895,9.999000099990002e-05,2074.6911918718697
wm,idrnn,t12,2,WM_composite,175,0.15680020401488948,0.3959891010737392,409210.0322959693,9.999000099990002e-05,204605.02321703255
wm,idrnn,t12,2,WM_WMU,175,0.13094650413095055,0.36227442156520206,31811.718121546277,9.999000099990002e-05,15905.866740023332
wm,idrnn,t12,2,WM_SS,175,0.18347810883258342,0.42868474396150463,6592382.175303293,9.999000099990002e-05,3296191.094212962
wm,idrnn,t012,3,WM_composite,175,0.11882194829282167,0.3447064837851789,9448.156553152829,9.999000099990002e-05,4724.086315937397
wm,idrnn,t012,3,WM_WMU,175,0.11742831296575929,0.3427194796538334,8275.944544509934,9.999000099990002e-05,4137.980354406783
wm,idrnn,t012,3,WM_SS,175,0.11650596883321496,0.3413731865377978,7569.683464774436,9.999000099990002e-05,3784.849843782426
wm,vanilla,t0,1,WM_composite,175,-0.005427599095329416,0.014696570365860239,0.11103914281436932,0.42775722427757223,0.0963704521681409
wm,vanilla,t0,1,WM_WMU,175,0.014957926807664834,0.12277600727701732,0.6563128908317046,0.05649435056494351,0.3467983726315965
wm,vanilla,t0,1,WM_SS,175,0.003306919184350554,0.06898624212650749,0.23231770339273036,0.18738126187381263,0.14226913842688593
wm,vanilla,t1,1,WM_composite,175,0.0041140767787154475,0.07800986190755548,0.26987175086645365,0.16198380161983802,0.1594583902530856
wm,vanilla,t1,1,WM_WMU,175,-0.00023011327140642912,0.059807293494962374,0.20123759428619586,0.22707729227077292,0.12853359337978906
wm,vanilla,t1,1,WM_SS,175,-0.013158103559203216,-0.39557194510591703,0.01415204256772995,1.0,197867.31362247097
wm,vanilla,t2,1,WM_composite,175,0.1293922397569779,0.36122454286976974,29520.712797145767,9.999000099990002e-05,14760.364098464699
wm,vanilla,t2,1,WM_WMU,175,0.0990962710933756,0.3182637765129873,1752.54515316294,0.00029997000299970003,876.2812237102482
wm,vanilla,t2,1,WM_SS,175,0.15446646732782998,0.3932837580442167,329617.2543534178,9.999000099990002e-05,164808.6342912216
wm,vanilla,t01,2,WM_composite,175,-0.008272055229783692,-0.018770003427499037,0.07861899547071732,0.6081391860813918,0.09750094884603536
wm,vanilla,t01,2,WM_WMU,175,0.008705518470738194,0.09361800046566071,0.357435548827839,0.11808819118088192,0.2008586149476518
wm,vanilla,t01,2,WM_SS,175,-0.013995916697911781,-0.18963357347449206,0.02699308047275828,0.9951004899510049,2.168828023292356
wm,vanilla,t02,2,WM_composite,175,0.09967359707289625,0.3229889693488252,2339.4221673586135,9.999000099990002e-05,1169.7196158083366
wm,vanilla,t02,2,WM_WMU,175,0.10243236822418866,0.32648542385040624,2906.67887157329,9.999000099990002e-05,1453.347884696309
wm,vanilla,t02,2,WM_SS,175,0.12119008519073193,0.35240763328782204,15934.080912580146,9.999000099990002e-05,7967.048333856789
wm,vanilla,t12,2,WM_composite,175,0.05805351397279368,0.248786863954162,44.66042019472144,0.00019998000199980003,22.34096845425051
wm,vanilla,t12,2,WM_WMU,175,0.04730399049886502,0.221268600205976,13.827428950934022,0.0017998200179982,6.925603487975581
wm,vanilla,t12,2,WM_SS,175,0.05573254576370401,0.2637342851292625,90.07339515120611,0.00019998000199980003,45.0469232814889
wm,vanilla,t012,3,WM_composite,175,0.06980631574392293,0.26593148954982915,100.25209297673206,9.999000099990002e-05,50.13619809197395
wm,vanilla,t012,3,WM_WMU,175,0.05932593697583788,0.24750778150254557,42.148684977358315,0.0004999500049995,21.085148871306025
wm,vanilla,t012,3,WM_SS,175,0.07736117459629788,0.2804133278318245,208.3209411404615,9.999000099990002e-05,104.17015822201853
