group,arch,subset,ntasks,n,boot_mean,boot_sd,boot_ci_lo,boot_ci_hi,boot_mean_sta,boot_sd_sta
openness,idrnn,t0,1,236,0.011648779675829378,0.012667305043828214,-0.011951143994994645,0.03637239420769068,-0.002604112639085754,0.01262891468324442
openness,idrnn,t1,1,236,0.009271499748852175,0.013217114956866375,-0.01670014752632317,0.034185609608830034,-0.007022732880026758,0.013173387617595398
openness,idrnn,t2,1,236,0.007077904010669386,0.013489958461073448,-0.019501597707623265,0.034770888300602515,-0.005268278913700522,0.013465923949423805
openness,idrnn,t01,2,236,0.012589926381767924,0.013786754516983598,-0.015042680948211623,0.04022891367176065,0.001976096029067043,0.01376797126310887
openness,idrnn,t02,2,236,0.026702536937100774,0.013622634134271746,-0.0001950838877612479,0.05351898660891539,0.01797717843473132,0.013633401979356884
openness,idrnn,t12,2,236,0.0034016356307760933,0.016230787026769118,-0.026703772246275542,0.03447749763898232,-0.0036601069265607632,0.016232589150081838
openness,idrnn,t012,3,236,0.018056266799326974,0.015905407372033185,-0.011467357178412968,0.04849985741654208,0.010772199138311365,0.01595779217110262
openness,vanilla,t0,1,236,0.003689652370969301,0.01521831167390225,-0.02683637224414923,0.03512704472038037,-0.0010312621946212738,0.015214433972374463
openness,vanilla,t1,1,236,-0.025233265312481643,0.01532889071992839,-0.05718466680081109,0.0049431393600053355,-0.027537997567729237,0.015334830675037301
openness,vanilla,t2,1,236,-0.006684945335521156,0.017707590629052628,-0.04024174819738073,0.028696435932976768,-0.011207528846322697,0.01777949981561896
openness,vanilla,t01,2,236,-0.0042015960406250165,0.014762188018938506,-0.033598280407884526,0.023016538148664705,-0.01624957609219664,0.014800725710209925
openness,vanilla,t02,2,236,0.020017967307144054,0.01490530935648008,-0.005478568750821155,0.049521751989364544,0.007721853374245589,0.014952423996293507
openness,vanilla,t12,2,236,-0.01814020900530916,0.014628894629630934,-0.046734748988376144,0.00945604337450421,-0.024743909159491588,0.0146494918538599
openness,vanilla,t012,3,236,-0.0007955785715301355,0.015443108638639133,-0.03199838429361379,0.027069627359091266,-0.013191880494469982,0.015494423860509688
wm,idrnn,t0,1,175,0.007128385356503138,0.014036963416404055,-0.020007246094322174,0.034509017159090265,-0.010805758318313626,0.014045057891210078
wm,idrnn,t1,1,175,0.0036525481261461806,0.01623209992774717,-0.028859915526362953,0.036372766173816164,-0.01674873996591497,0.016266094064652414
wm,idrnn,t2,1,175,0.13162005775376048,0.01388502098877348,0.10513955802068335,0.15746267609059703,0.09867736474928246,0.01429064945200484
wm,idrnn,t01,2,175,0.0025122592225501313,0.014620313577906897,-0.02599783800745433,0.031894022282286424,-0.008443172744986394,0.01465185011213402
wm,idrnn,t02,2,175,0.09487681755477789,0.014749934726371193,0.06541444662752081,0.12260199125332591,0.07733478981419568,0.014761850691957047
wm,idrnn,t12,2,175,0.14033650911273401,0.014807708741364443,0.11451783785654238,0.1719003199964343,0.12358617102973733,0.014861425325811636
wm,idrnn,t012,3,175,0.10028205639311151,0.015956548965548045,0.06989576485337981,0.1320135915994955,0.08736379731884483,0.015962387119698267
wm,vanilla,t0,1,175,-0.011730847434359544,0.015639457282163958,-0.04139501038180543,0.018115676471830128,-0.018554546906033545,0.015734582983488062
wm,vanilla,t1,1,175,-0.021805698814582376,0.014987969485816896,-0.051072144867326995,0.007565675321947383,-0.02464117185293434,0.015006780504826506
wm,vanilla,t2,1,175,0.10846902465739791,0.020266470356178717,0.06941430538976712,0.1478195819696682,0.09948338360830751,0.020313400025825636
wm,vanilla,t01,2,175,-0.014912510789991366,0.01277115618475574,-0.038844762986853465,0.010107796684567976,-0.024482161481576115,0.012811274406774535
wm,vanilla,t02,2,175,0.09045971335458197,0.014740258554759028,0.06331353922355192,0.120109403076258,0.05804289153655021,0.014762017715922386
wm,vanilla,t12,2,175,0.04184728541762236,0.014583187031808355,0.01495157270554644,0.07022310643803606,0.01627653264889138,0.014569601806401737
wm,vanilla,t012,3,175,0.057582933445616116,0.013409160203972094,0.032548220419874895,0.08355633488960437,0.03146139303310969,0.013459937952616737
