target,idrnn_pearson,idrnn_spearman,idrnn_loo_r,idrnn_loo_r2,idrnn_n,vanilla_pearson,vanilla_spearman,vanilla_loo_r,vanilla_loo_r2,vanilla_n
PANAS_PA,0.15530263272468925,0.13930432284075048,-0.1916953515771245,-0.0444048457046573,236,0.16224720643765464,0.1297216667672562,-0.22602694958173777,-0.05320171898805759,236
PANAS_NA,0.178590994368112,0.17129582787269526,0.0824799050042156,0.0043781102864748345,236,0.13100553286132197,0.08926151189481799,-0.1651741457304519,-0.011978177958230196,236
STICSA,0.05664985284798592,0.1267710069251344,-0.5310026475127165,-0.01248815950122184,236,0.1303817329456715,0.15690372524068583,-0.14335461649828532,-0.007817108336697132,236
PHQ,0.08863815346829246,0.06330489683986629,-0.23885185118428526,-0.01058544407699702,236,0.08950588789064809,0.09327524711350735,-0.3003279913441498,-0.01129688396652817,236
CEI,0.02256868059297739,-0.04264659866307267,-0.7539352620680297,-0.014190733518042675,236,0.03854588681579247,0.009566678083893786,-0.6264246357933774,-0.013044878570799723,236
BIG5_open,0.17020133644874938,0.12367186429569675,0.06289162847219137,0.0008487921806294985,236,0.11297306755290738,0.04103348134979691,-0.2381557643731573,-0.0109240435535507,236
AxDep,0.07231211857887522,-0.002754142409314823,-0.4722791262245165,-0.016036876407353295,175,0.05414079522721183,0.0222525750111957,-0.6778624485338574,-0.016646434992265924,175
posMood,0.061448876785740694,0.014574187836798742,-0.5123503160145388,-0.016028542255695166,175,0.10308253063453829,0.07089978951883072,-0.41178319266662455,-0.013991905811721717,175
negMood,0.19363154354029655,0.1332335227628038,-0.13185225591294053,-0.022414558435679854,175,0.13589659826661218,0.10066421788828697,-0.2957242470156475,-0.012883355640453287,175
Exp,0.12324944791703656,0.1447357814599194,-0.23191786934489017,-0.010961267633684102,175,0.08397975693783388,0.07195924764890282,-0.44171512998747703,-0.014113938254844527,175
WM_composite,0.2853493349887771,0.2913994626063592,0.18961566058844265,0.029720834259285844,175,0.16156960256881017,0.19584639498432602,-0.28886262271944957,-0.03371987024537049,175
WM_OS,0.164203598133426,0.1711409377188679,-0.1557501974827821,-0.036882653361796525,175,0.1912578339277305,0.16141858565754075,0.06846592327840878,0.0016514237290872202,175
WM_SS,0.3086800877178351,0.266675250089546,0.23672021248923653,0.05348731876009072,175,0.11153164304476804,0.06867817218072328,-0.37665904142543577,-0.013330725206811112,175
WM_WMU,0.23156224168791947,0.23336692378507407,0.004780371249846795,-0.018924007516581298,175,0.16371995884129384,0.22505122503706282,-0.29450680759185777,-0.02902805040985923,175
