target,n,z0_pearson_r,z0_pearson_p,z0_spearman_rho,z0_spearman_p,z1_pearson_r,z1_pearson_p,z1_spearman_rho,z1_spearman_p,z2_pearson_r,z2_pearson_p,z2_spearman_rho,z2_spearman_p,multiple_R,loo_R2,loo_pred_r,best_dim_pearson,best_abs_pearson,best_dim_spearman,best_abs_spearman
PANAS_PA,236,0.13446372962038455,0.03900955037889351,0.1471179785818976,0.023797519309617984,0.0909265827992273,0.16382859799271074,0.10409331441817309,0.11072184588263907,-0.04080900827250977,0.5327253374621022,-0.022839424895090926,0.7270529005886736,0.15530263272468925,-0.0444048457046573,-0.1916953515771245,0,0.13446372962038455,0,0.1471179785818976
PANAS_NA,236,0.16505137077911577,0.011099653641343538,0.17095591803249022,0.008495074578841385,0.09510986689904709,0.14521253670619066,0.11910139267862642,0.06778069637024701,-0.03191153298624212,0.6257229676663347,-0.01534939637280847,0.8145473741787344,0.178590994368112,0.0043781102864748345,0.0824799050042156,0,0.16505137077911577,0,0.17095591803249022
STICSA,236,-0.03383854750798264,0.6049986277818228,-0.0990947105826975,0.12902005574700776,0.025165741347667022,0.7005251366074827,0.03545100886254735,0.5878960266049031,-0.018954814122273046,0.7720692300598179,-0.014162322818227987,0.8286592812609395,0.05664985284798592,-0.01248815950122184,-0.5310026475127165,0,0.03383854750798264,0,0.0990947105826975
PHQ,236,0.06171977284669124,0.34515780351173053,-0.020866800338582042,0.7498064745826485,0.07828938158101427,0.23085537590585553,0.0720479644960898,0.270297218901718,-0.006468882969086771,0.9212571687261298,-0.02236316776760607,0.7325253779468114,0.08863815346829246,-0.01058544407699702,-0.23885185118428526,1,0.07828938158101427,1,0.0720479644960898
CEI,236,-0.021933205291178846,0.737477543940548,0.0459533556616606,0.48232262482281507,-0.010120410688528297,0.8770963297188276,-0.013431041498483762,0.8373804766691318,0.0018503418295739943,0.9774431486678079,-0.09890309371278069,0.12976536596630733,0.02256868059297739,-0.014190733518042675,-0.7539352620680297,0,0.021933205291178846,2,0.09890309371278069
BIG5_open,236,0.09168567393395868,0.1603240936278287,0.09755222188844428,0.135114274178375,0.06875914811242997,0.2928293317358168,0.07039484359613325,0.2814709356693148,-0.12025599678175176,0.06513982560855378,-0.08266316743851071,0.20575674245370928,0.17020133644874938,0.0008487921806294985,0.06289162847219137,2,0.12025599678175176,0,0.09755222188844428
AxDep,175,0.06537964333062272,0.3900022043538327,0.02560680698611733,0.7365890188144946,0.034531367203151045,0.6500672905291567,0.06901030004478281,0.3641633284519734,0.041263622417772455,0.5876907219680775,0.022507836990595612,0.7674940670516981,0.07231211857887522,-0.016036876407353295,-0.4722791262245165,0,0.06537964333062272,1,0.06901030004478281
posMood,175,0.04815492421944226,0.526843480902165,0.034004571666862625,0.6550601255377808,0.05461706734467376,0.47283492717193276,0.02159864846174316,0.776633592808846,0.013467428984170492,0.8595958886642788,-0.011080997038137764,0.8842831425382023,0.061448876785740694,-0.016028542255695166,-0.5123503160145388,1,0.05461706734467376,0,0.034004571666862625
negMood,175,0.17758853362083257,0.018715009888987368,0.10664422441357557,0.16011962957153156,0.07358287564923943,0.33317088921921373,0.1165032169049375,0.12469026245320938,-0.04514142440602432,0.5530554297113769,-0.09820760424770011,0.19601728035587615,0.19363154354029655,-0.022414558435679854,-0.13185225591294053,0,0.17758853362083257,1,0.1165032169049375
Exp,175,-0.034087098212222326,0.6542769419113695,-0.013105687416032246,0.8633299197375843,-0.11883426058537896,0.1172739636185115,-0.14233318405732198,0.060247872410434576,-0.05094669154986114,0.5031341920914854,-0.06458128078817735,0.39582878830117596,0.12324944791703656,-0.010961267633684102,-0.23191786934489017,1,0.11883426058537896,1,0.14233318405732198
WM_composite,175,-0.022827577405160112,0.764287440199278,-0.06351545006717421,0.40368812748703364,-0.14032448400005804,0.06399848701240925,-0.17004030452306318,0.024467330298266816,0.2131704139085579,0.004619996545101289,0.20675996417375728,0.006045474119152725,0.2853493349887771,0.029720834259285844,0.18961566058844265,2,0.2131704139085579,2,0.20675996417375728
WM_OS,175,0.04795775703300378,0.5285390575358824,0.042137282880259,0.5798012097273468,0.008127315672935332,0.9149908479934417,-0.003502017186530546,0.9633138599849462,0.15853870327268754,0.036125541167035924,0.19506840297159517,0.009683828221813552,0.164203598133426,-0.036882653361796525,-0.1557501974827821,2,0.15853870327268754,2,0.19506840297159517
WM_SS,175,0.013746276320915124,0.8567196410987331,-0.0659172968958878,0.3861076064506207,-0.18195616109446833,0.015954411302366113,-0.15278746522555345,0.04353185461669761,0.1943035625424654,0.00997836788085587,0.20586993881837792,0.006271712541084516,0.3086800877178351,0.05348731876009072,0.23672021248923653,2,0.1943035625424654,2,0.20586993881837792
WM_WMU,175,-0.10164479442609806,0.18074416479067673,-0.06572279531567436,0.3875137906714289,-0.13301855241524238,0.07928218552750177,-0.1621174973908776,0.03207750287775093,0.14519157616259565,0.05522388841497215,0.1514292436883711,0.045455404674130666,0.23156224168791947,-0.018924007516581298,0.004780371249846795,2,0.14519157616259565,1,0.1621174973908776
