target,arch,n,canonical_r2,pearson_r,bf10_greater,perm_p,bf10_twosided,bf10_ereduction
PANAS_PA,idrnn,236,0.02149000598594068,0.14661709225965344,2.0029915402635194,0.013098690130986902,1.0141161023159697,0.13
PANAS_PA,vanilla,236,-0.010966741296465818,-0.3930434373700763,0.010612942278385162,1.0,23239797.374994863,1362.342
PANAS_NA,idrnn,236,0.015562597069657963,0.12553495104397164,1.0009092110119657,0.0282971702829717,0.5146430157465322,0.103
PANAS_NA,vanilla,236,-0.014278464684707535,-0.4489648676831613,0.0107269287109375,1.0,17918261245.391277,2734.014
STICSA,idrnn,236,-0.012053189772866912,-0.05019700136058704,0.048564743421192325,0.7706229377062294,0.10921054654263906,0.191
STICSA,vanilla,236,-0.011770796092296691,-0.24743574582720732,0.016274323599418494,1.0,124.30303021878899,48.86
PHQ,idrnn,236,-0.009899287692439545,-0.13562364667790341,0.026792256779371915,0.9813018698130187,0.7023727314898376,0.976
PHQ,vanilla,236,-0.013175770579937365,-0.47082778868219666,0.031982421875,1.0,345576016872.1561,101300000.0
CEI,idrnn,236,0.01114449643946385,0.10740908896445035,0.5946995089605371,0.047795220477952205,0.31319552117259725,0.094
CEI,vanilla,236,-0.01364221909001991,-0.20444497729335195,0.01923082884927041,0.9995000499950005,11.546587761741364,72.836
BIG5_open,idrnn,236,0.05264773364021012,0.22965935421112393,87.55398360611875,0.0004999500049995,43.78568426445784,0.361
BIG5_open,vanilla,236,0.0017910527166166619,0.04488126038152455,0.15503899258128684,0.24067593240675933,0.10297715256091622,0.075
AxDep,idrnn,175,-0.01444219551757645,-0.577305179394525,11.21875,1.0,107778199904914.89,16480000000.0
AxDep,vanilla,175,-0.01764939874703909,-0.5066461392702649,0.012371063232421875,1.0,9857201553.011621,6492000.0
posMood,idrnn,175,-0.014869120699146641,-0.2284636693550168,0.02314481685543157,0.9988001199880012,9.269338986443485,2.698
posMood,vanilla,175,-0.0140614190074614,-0.5525378151580266,0.341796875,1.0,3202879371092.0596,26800000.0
negMood,idrnn,175,-0.014069779675607921,-0.6264594254136888,35072.0,1.0,3.0487036118509114e+17,597.737
negMood,vanilla,175,-0.014693012997987526,-0.18613058059326207,0.027399176028869654,0.9928007199280072,1.9299446725294265,0.392
Exp,idrnn,175,-0.01924631789813199,-0.18791307228229756,0.0271911321429279,0.9954004599540046,2.047418862134495,2.332
Exp,vanilla,175,-0.014065641587750028,-0.5560216822190771,0.62109375,1.0,5159285979528.071,43130.0
WM_composite,idrnn,175,0.09276429330025411,0.3047213170077387,788.1565040021808,9.999000099990002e-05,394.0872458260353,0.524
WM_composite,vanilla,175,0.026143819704354032,0.17181012108858038,2.4248142449945878,0.012998700129987,1.226998847019605,0.228
WM_OS,idrnn,175,-0.01452060200716459,-0.4559883310787413,0.012381881475448608,1.0,43025367.96955781,5473.407
WM_OS,vanilla,175,-0.019953679186876492,-0.2326081878622714,0.02279427138404344,0.9993000699930007,11.015639777141796,3.289
WM_SS,idrnn,175,0.07601683366873349,0.2765768624157197,170.87601474448047,0.00029997000299970003,85.44781395118953,0.401
WM_SS,vanilla,175,0.029862412061821338,0.19106469127604253,4.525693361732509,0.0057994200579942,2.2762618641228465,0.508
WM_WMU,idrnn,175,0.1217060378681256,0.3488659907270447,12506.827154203034,9.999000099990002e-05,6253.421528286938,0.553
WM_WMU,vanilla,175,0.021168819485501943,0.15089311938704505,1.3243196496880778,0.022397760223977603,0.6782632309411375,0.144
