scale,group,n,r_idrnn,p_idrnn,r_vanilla,p_vanilla,r_iv,z_steiger,p_steiger,r_idrnn_loo,p_idrnn_loo,r_vanilla_loo,p_vanilla_loo,r_iv_loo,z_steiger_loo,p_steiger_loo,r2_idrnn_loo,r2_vanilla_loo,chance_r
PANAS_PA,personality,236,0.2189298035781971,0.009660622052242662,0.1516217631177025,0.14428741873408873,0.40257053405293697,0.9657497793584919,0.3341694038402302,0.13997066103357675,0.031599099878956156,-0.19384448123374046,0.0027852025065951613,0.27030898707168005,4.240477966905882,2.230443292091137e-05,0.01939388103184314,-0.020125893152714625,0.11298653657320641
PANAS_NA,personality,236,0.1938259071944061,0.030610415534931854,0.12088426269754173,0.33094425665674326,0.37627473694118907,1.0178535860440336,0.3087475417773533,0.09660806789325592,0.13895212512097244,-0.18123530868919024,0.005229114738707297,0.24271286951167012,3.46705177440635,0.0005262005251749338,0.007797326373530145,-0.01544638454855618,0.11298653657320641
STICSA,personality,236,0.20540841674462118,0.01837475167498608,0.06372630287616582,0.8142884529086385,0.3439665718103333,1.919622835150049,0.05490555753046545,0.12112538990743124,0.0632074550535627,-0.4425585251259698,9.71786610842573e-13,0.21700225929950484,7.084267586953637,1.3978158541028114e-12,0.014141085131771147,-0.012329752134530025,0.11298653657320641
PHQ,personality,236,0.16154307250193858,0.1046331681036235,0.02522584351118987,0.9855124618479532,0.4145678031056058,1.942137524211472,0.05212045390976267,0.054103790694696056,0.40803797307072115,-0.7648859543375395,1.372197863909204e-46,0.1530028002907076,11.581201491165555,5.132165315116881e-31,-0.0006929717543897596,-0.013114292646279946,0.11298653657320641
CEI,personality,236,0.17942201305181293,0.05485356510189299,0.09370233771113085,0.5620155998380489,0.26698629933134266,1.0994796623468603,0.2715589001580979,0.08811246220448098,0.17732168736742562,-0.25558341403319096,7.137224927695352e-05,0.20867145115366934,4.214628386031624,2.501897988144997e-05,0.006164530219819442,-0.009834240250984339,0.11298653657320641
BIG5_open,personality,236,0.233316076852104,0.004606853055745439,0.2310331936803056,0.0052016443237092366,0.2955757126669476,0.030621054227801724,0.9755717511761323,0.1496276136390835,0.02148349231185398,0.13866768408133462,0.03323441163491575,0.2665787902869695,0.14073641746080595,0.8880781744337065,0.022082232654902167,0.018755123084267633,0.11298653657320641
AxDep,composite,175,0.08418810310533976,0.7482482166927422,0.0866962701156712,0.7305837652630205,0.3847908839570318,-0.029970054929405708,0.9760909351426972,-0.5194576651354772,1.762443190009809e-13,-0.47363176034206433,3.596281787796333e-11,0.5311134447238273,-0.7486474974164751,0.454069696099628,-0.014251622980594902,-0.014650987727502507,0.13130643285972254
posMood,composite,175,0.14978641349042715,0.273416459193257,0.13509192749475848,0.367794956807788,0.4715709654792967,0.19101303729388416,0.8485153789365789,-0.2307112418481299,0.002128443625908091,-0.2774609728850656,0.00020127015903381365,0.316371901185678,0.5518655922460941,0.5810404437768408,-0.014788723125223946,-0.01195453022639592,0.13130643285972254
negMood,composite,175,0.09256060955382905,0.6879045311438619,0.15666679337804057,0.23454272428261486,0.3904181569141814,-0.7737363567279745,0.4390867153980539,-0.4770049522159103,2.49626266708528e-11,-0.3441006330801059,3.1226441181034622e-06,0.3787253222881015,-1.784721330447744,0.07430652928814081,-0.01353242619179218,-0.020189201046334926,0.13130643285972254
Exp,composite,175,0.17495292735367515,0.14908423576114724,0.07395385374552206,0.815637706742662,0.046056202132426394,0.9760053353087034,0.32906182040807497,-0.029458999148725507,0.698758326837274,-0.5574221681499515,1.1272420491176149e-15,0.0045127170848350984,5.404596833457908,6.495432572971133e-08,-0.017720817084400098,-0.01493923048140644,0.13130643285972254
WM_composite,wm,175,0.3441668866843674,7.821563202736821e-05,0.213007103815492,0.04677817083480599,0.5064891697219899,1.8330708161737406,0.06679204047067701,0.2824431325115862,0.00015248033819221683,0.06805595581078844,0.37085026377737484,0.46690608499934544,2.7941685410995634,0.005203335193257096,0.07792069126100187,-5.469058294016449e-06,0.13130643285972254
WM_OS,wm,175,0.07427282858089222,0.8136664148853503,0.13843133857731085,0.3450962830732238,0.14300289822409495,-0.6517656840477193,0.5145523421594334,-0.5617320359918851,6.095127949044392e-16,-0.23711379951582015,0.001580822467427039,0.24265836371519509,-3.9829016608874315,6.807893063716384e-05,-0.014533899439349351,-0.017379884196852213,0.13130643285972254
WM_SS,wm,175,0.36275054168064924,2.2736149290820043e-05,0.2333511806448134,0.0222672535495461,0.5196487854348613,1.8469593038055416,0.06475303866059459,0.3077254711245506,3.4334982245793626e-05,0.12412603134243336,0.10171386914660469,0.4840362613959498,2.4580349041964236,0.013969959576838135,0.09353183904550377,0.01479740694857501,0.13130643285972254
WM_WMU,wm,175,0.3676836823810849,1.6133536705812307e-05,0.23509865282594763,0.020806995224746966,0.42659042979039,1.7389432119443549,0.08204475231344183,0.3074154038454038,3.4998230803337894e-05,0.09196882144630508,0.22609421796684365,0.3950292345892129,2.655081047607575,0.00792893557999255,0.09286154321377538,0.005512296624643698,0.13130643285972254
