target,n_idrnn,n_vanilla,idrnn_r2_mean,idrnn_ci_lo,idrnn_ci_hi,vanilla_r2_mean,vanilla_ci_lo,vanilla_ci_hi
PANAS_PA,236,236,0.01721462514778075,-0.027498171986076743,0.05236250936640727,-0.011381296561164777,-0.03302476593516593,-0.007874958938677673
PANAS_NA,236,236,0.011894272791245076,-0.0310003968661253,0.0461353182606498,-0.014508086141668385,-0.03668125983341312,-0.010413592998364864
STICSA,236,236,-0.015029928457556208,-0.044234289134855845,0.0037306875113771224,-0.012980438281298157,-0.0365236076975639,-0.007770695735034137
PHQ,236,236,-0.010927458952965163,-0.03447158188655954,-0.003188630420007908,-0.013611422681013185,-0.03863348850085355,-0.009695040743061527
CEI,236,236,0.008781614107522994,-0.028794853098764468,0.03636753386228892,-0.015982462780112637,-0.04176291397017785,-0.00552487016230466
BIG5_open,236,236,0.04383520765613125,-0.023708743164947154,0.09267343644513444,-0.0043508678463458515,-0.03427061532832185,0.015363818588584684
AxDep,175,175,-0.014474795558480413,-0.04564991098438336,-0.01281635880205084,-0.019814344551091257,-0.05312988009874805,-0.014761158846743668
posMood,175,175,-0.01570894211581435,-0.046970040051140145,-0.007466965343957541,-0.014474054546984316,-0.043205420833788644,-0.012452387036064988
negMood,175,175,-0.014119219554449124,-0.04527439451772031,-0.012914977286462605,-0.01645598149592962,-0.05049387319608119,-0.005536435466346311
Exp,175,175,-0.020720728396373157,-0.05611670198619124,-0.0073752636459563075,-0.014191513023729164,-0.04540066691258101,-0.011738818464527038
WM_composite,175,175,0.08220254581931473,-0.020342796021261253,0.16194753540191376,0.012973847001300299,-0.03899606771437794,0.05265934865506494
WM_OS,175,175,-0.014671271306906796,-0.04211048318351714,-0.010795605535023548,-0.020228251843415302,-0.058891032572086395,-0.007365646030032024
WM_SS,175,175,0.06820212433801279,-0.02107404519507974,0.14881727665662595,0.013251272623042865,-0.03342321348499077,0.044052055224242125
WM_WMU,175,175,0.10686027069981811,-0.02914687970591028,0.20640268955006216,0.0018513645205507911,-0.05615886509185094,0.05320592434391562
