target,idrnn_r2,vanilla_r2,idrnn_bf,vanilla_bf,idrnn_perm_p,vanilla_perm_p,idrnn_sd,vanilla_sd
PANAS_PA,0.02149000598594068,-0.010966741296465818,2.0029915402635194,0.010612942278385162,0.013098690130986902,1.0,0.0145995689780322,0.0119919975081837
PANAS_NA,0.015562597069657963,-0.014278464684707535,1.0009092110119657,0.0107269287109375,0.0282971702829717,1.0,0.0143337593100558,0.0119424202537518
STICSA,-0.012053189772866912,-0.011770796092296691,0.048564743421192325,0.016274323599418494,0.7706229377062294,1.0,0.0138832242390027,0.0108925600764998
PHQ,-0.009899287692439545,-0.013175770579937365,0.026792256779371915,0.031982421875,0.9813018698130187,1.0,0.0129012665630729,0.0106584809795495
CEI,0.01114449643946385,-0.01364221909001991,0.5946995089605371,0.01923082884927041,0.047795220477952205,0.9995000499950005,0.0135794057112397,0.0111051195619218
BIG5_open,0.05264773364021012,0.0017910527166166619,87.55398360611875,0.15503899258128684,0.0004999500049995,0.24067593240675933,0.0147198040166174,0.0124891796182363
AxDep,-0.01444219551757645,-0.01764939874703909,11.21875,0.012371063232421875,1.0,1.0,0.0149518498633365,0.014050114740399
posMood,-0.014869120699146641,-0.0140614190074614,0.02314481685543157,0.341796875,0.9988001199880012,1.0,0.0183443021484395,0.0140811899381896
negMood,-0.014069779675607921,-0.014693012997987526,35072.0,0.027399176028869654,1.0,0.9928007199280072,0.0140544615964424,0.0162036511697038
Exp,-0.01924631789813199,-0.014065641587750028,0.0271911321429279,0.62109375,0.9954004599540046,1.0,0.0192531808884918,0.0149040797309348
WM_composite,0.09276429330025411,0.026143819704354032,788.1565040021808,2.4248142449945878,9.999000099990002e-05,0.012998700129987,0.0199383543409976,0.0170036843840272
WM_OS,-0.01452060200716459,-0.019953679186876492,0.012381881475448608,0.02279427138404344,1.0,0.9993000699930007,0.0160425841555089,0.0152317895482382
WM_SS,0.07601683366873349,0.029862412061821338,170.87601474448047,4.525693361732509,0.00029997000299970003,0.0057994200579942,0.0199031875017083,0.0165274641284385
WM_WMU,0.1217060378681256,0.021168819485501943,12506.827154203034,1.3243196496880778,9.999000099990002e-05,0.022397760223977603,0.0218969339167776,0.0189032415150462
