regret,"horizon regret (task3,h10)","horizon regret (task3,h10)_spearman","horizon regret (task3,h10)_p",WM updating,WM updating_spearman,WM updating_p,WM composite,WM composite_spearman,WM composite_p,BIG5 openness,BIG5 openness_spearman,BIG5 openness_p
R1 human,0.4254117498926497,0.4002841622353285,8.626825446263533e-12,-0.22684657953687326,-0.1629268023908962,0.0025373789311460876,-0.21877750385780848,-0.15284792234857902,0.0036289445499956934,0.15336413652345723,0.11140466117256251,0.018399511632567637
R2 exact single,0.11797595841625552,0.06373945662328465,0.0704384295621438,0.02299413476162809,0.02237251819307214,0.7626186444120989,0.0016505721224334016,0.011784634296867737,0.9827043730532253,-0.06138905989355157,-0.04071782007675679,0.34775373053788167
R3 exact margRNG,0.11037197157932661,0.10398517158340234,0.09069630010790353,-0.06437118873720547,-0.09545642880863078,0.3973706947345465,-0.10168850645959857,-0.08677339901477833,0.18055574042752362,-0.032238434471740476,-0.026715388174083966,0.6221858900326732
R4 marg env+RNG,0.2623313546490666,0.27271388945754527,4.497735716998911e-05,-0.03674583586709313,-0.07401050261778552,0.6292511020859655,-0.09958113245867169,-0.08782803403493059,0.18980525434901113,-0.029519020740381,-0.00024600903776708996,0.6518667687151999
