regret,"horizon regret (task3,h10)","horizon regret (task3,h10)_spearman","horizon regret (task3,h10)_p",WM updating,WM updating_spearman,WM updating_p,WM composite,WM composite_spearman,WM composite_p,BIG5 openness,BIG5 openness_spearman,BIG5 openness_p
R1 human,0.42626571687406634,0.3980246731158453,6.32420931747652e-12,-0.23066937584324262,-0.16744598561941804,0.002009140423269901,-0.21905011262369864,-0.15429612052540814,0.003397431126391119,0.14645162161366984,0.10457861715527039,0.0238431223043899
R2 exact single,-0.015702960362800434,0.008238311978348562,0.8095606123035141,-0.10336675226728274,-0.09987025227520864,0.1709580299425817,-0.2073893911140895,-0.19017996650152383,0.005609652602323783,-0.036199374714638,-0.06962573935427392,0.5784168142592592
R3 exact margRNG,0.34740778024453356,0.3354953452182794,3.7188136010440944e-08,-0.10260024708955316,-0.13222119220610495,0.17417030339742365,-0.18321335817862597,-0.1659813715136511,0.014649786534353778,0.10606546561968166,0.1192704408871433,0.10261819710106054
R4 marg env+RNG,0.3214452288979693,0.3620505717670306,4.0190947045357017e-07,-0.09425820419407484,-0.13053631508217173,0.21206066044280197,-0.14879031235816173,-0.15864727064974637,0.04809625022298323,0.04777229647202329,0.06549090869345928,0.46323287583119144
