target,idrnn_pearson_mean,idrnn_pearson_sd,idrnn_spearman_mean,idrnn_spearman_sd,idrnn_loo_r_mean,idrnn_loo_r_sd,idrnn_loo_r2_mean,idrnn_loo_r2_sd,idrnn_best_pearson_mean,idrnn_best_pearson_sd,idrnn_frac_pos,vanilla_pearson_mean,vanilla_pearson_sd,vanilla_spearman_mean,vanilla_spearman_sd,vanilla_loo_r_mean,vanilla_loo_r_sd,vanilla_loo_r2_mean,vanilla_loo_r2_sd,vanilla_best_pearson_mean,vanilla_best_pearson_sd,vanilla_frac_pos
PANAS_PA,0.19725245272707598,0.022700659482900606,0.17816631199804997,0.023174322679938488,0.06830597271552859,0.12212044662234442,0.0040331906639919255,0.020805540830004778,0.1717878730015325,0.020882046377185774,0.9,0.256150752475614,0.006350280294661194,0.22635254777817454,0.013960979620532755,0.15594122170814562,0.026072578950564217,0.02229346478231098,0.012240453764368827,0.24569582158774006,0.0028255041887227253,0.9
PANAS_NA,0.21706399533387732,0.016943281921884806,0.20108657827434503,0.014217868329701061,0.13057746564931622,0.020077910944224724,0.016658071263429896,0.005904014247315769,0.19213435018016706,0.020122782948369364,1.0,0.2600014441411181,0.005230009716282038,0.21626725730493196,0.020532139828737386,0.1615116008714231,0.024901648008590082,0.024900014773756828,0.010490878978831336,0.2540543243779818,0.0022737983474316148,0.9
STICSA,0.1455462352981362,0.033160458763645914,0.11128241094372245,0.028691966831316293,-0.07389673237298724,0.12437503635845804,-0.006401942850109576,0.009418609245896143,0.1257554715686988,0.029374783620440586,0.2,0.05649071636243926,0.01227123250003922,0.06789360079754866,0.02937401514077974,-0.5006312538907395,0.09906932944760301,-0.012620033532067153,0.00047576583637969777,0.04269415371778234,0.009333226693954415,0.0
PHQ,0.121724133878369,0.03460168834547853,0.07811190629740866,0.029071190017845125,-0.18996116572541602,0.14954922519267086,-0.013131891125342788,0.008978979940648162,0.10312214978318401,0.029910425103083123,0.0,0.07913111586938959,0.026037234031942472,0.06338031005879743,0.017983437930823725,-0.35994706097934975,0.14982379250001895,-0.011035231835269466,0.0014976932145416317,0.07011408223124006,0.027240868493537882,0.0
CEI,0.17175585188212664,0.022396286389965443,0.14303917663394927,0.03377008686994381,0.048051894696307204,0.06945523687801473,0.0003811223048021617,0.007242792196466683,0.14714766121428607,0.01637041655410153,0.6,0.2095174632890761,0.035443675634384705,0.19157128397096151,0.042109153965624146,0.09745186714153761,0.08260227025332297,0.010397206819874206,0.01858485030857777,0.16053510436340862,0.02355029302760181,0.8
BIG5_open,0.25285012981362015,0.021761882901025785,0.24359305165028045,0.01904993884604954,0.16879830308645882,0.03492178422033505,0.027912403951885333,0.013169833456866077,0.22930528534944764,0.024672727366570307,1.0,0.1710602139906862,0.05858969136423547,0.13171378960423274,0.05400678991663022,-0.04327497480675934,0.1552021820849106,-0.0031917775015858573,0.018423733583580508,0.14799380094923198,0.06313700940739668,0.2
AxDep,0.07394585624004821,0.03483468569837077,0.05143685624720108,0.032824945630297,-0.5718498287862409,0.20999828213030217,-0.014478246668189509,0.0014312436462250277,0.05538039155837967,0.028594497776172782,0.0,0.0745121506793607,0.030187208457750463,0.0475539632781012,0.027709566803859227,-0.5880039517288942,0.16185817355390011,-0.015199691178432562,0.001440697999800375,0.058934314102506546,0.028171687415016796,0.0
posMood,0.10431650499414805,0.016193125152717768,0.10175668156413623,0.016959657836179472,-0.40428651547653444,0.10743426880232791,-0.013586824414458843,0.0010900575769775742,0.07926842582116175,0.021123924821307052,0.0,0.12084788297738296,0.024744077747472754,0.10087000020623309,0.02993009307545637,-0.33029023117783796,0.1374112569538406,-0.014677454128579903,0.0037089497770933636,0.09977620607029293,0.0274071389242435,0.0
negMood,0.08830759557423626,0.02754783353640232,0.18726995871834692,0.043814198604385644,-0.4844362478849541,0.1373045474685998,-0.015075883056282402,0.0012889744173406412,0.07693638812183475,0.0277523856652921,0.0,0.1191341636330406,0.013487457765419287,0.1741908733234532,0.046372787567278216,-0.39871778158751014,0.07537396670677944,-0.02092115146704181,0.004412358403759497,0.09510670450785429,0.016067911710478187,0.0
Exp,0.13534922046204062,0.027582259165626295,0.0999628302731751,0.03921123699372999,-0.2853540885198053,0.12792159139763457,-0.020189938721680466,0.011382241286333014,0.11258344284292987,0.026590847161799786,0.0,0.10923722305020123,0.037798291067238095,0.09941222570532916,0.022979832336029203,-0.4237693244474191,0.10531098744599332,-0.01595221110830043,0.003825888750734482,0.08687669323433816,0.026226707880265866,0.0
WM_composite,0.3857178429555187,0.020659653818918586,0.36471408043489556,0.02948053609149399,0.327656567065867,0.02420577925581164,0.1065829275953774,0.015850662453063376,0.32434862458613384,0.038029776866205234,1.0,0.28425478196703824,0.09133791025557617,0.3008111009158429,0.08037818668061586,0.16143527105607586,0.14055258243370544,0.038087475760406664,0.04609229306071949,0.24206737615166282,0.0852331326507866,0.8
WM_OS,0.1141113403367282,0.007012307327306909,0.10323992203976633,0.014268434379760674,-0.3070371115881923,0.04002593547909557,-0.0124335171505064,0.0005191398094549979,0.09080189513935473,0.01196918557954749,0.0,0.13218339176671606,0.018430209783990105,0.12453630289919704,0.025934953591873727,-0.22464206777245135,0.08665258977623295,-0.02339384232685653,0.014611111600512226,0.11437345656674432,0.013702610298051945,0.0
WM_SS,0.37692776698022695,0.027047367128158042,0.40336117450715914,0.030938421329847976,0.3170725014263206,0.03948236073141461,0.10103454058381903,0.024784214765859573,0.31552556355901784,0.03556228800193306,1.0,0.274795954978854,0.11870869299440723,0.28913339605481425,0.12790247504534075,0.11528761176901378,0.26132509716426977,0.04098924967411279,0.05201263621115691,0.2356494045020463,0.11023329857730883,0.7
WM_WMU,0.39378143188415166,0.01836003899538167,0.35697395315162495,0.019744059314606755,0.3296347910710046,0.025839293403712535,0.10745354468818011,0.017850253504434296,0.337075318427306,0.048337587473473755,1.0,0.2750671860372518,0.08415452688216984,0.28856545301988124,0.06741227347426645,0.1863680247390682,0.12455502695891311,0.0471247533559504,0.047749919886879766,0.24107183095887058,0.08305501846934925,0.7
