group,arch,ntasks,n,real_mean,boot_mean,boot_sd
openness,idrnn,1,238,0.015387477857583437,0.00503351030881063,0.009651895889607078
openness,idrnn,2,238,0.02471749791901562,0.01367331647053583,0.01116440142767894
openness,idrnn,3,238,0.032292890034018695,0.020375245746134935,0.0136685956986259
openness,vanilla,1,238,0.005116841228956385,-0.004149652368646556,0.010186821160569067
openness,vanilla,2,238,0.0003875706511608917,-0.0072295316281006435,0.009488386599950051
openness,vanilla,3,238,0.003971658788978927,-0.005991303478689212,0.01136147909271694
wm,idrnn,1,177,0.05005532157558009,0.03585390468980252,0.009545574216518627
wm,idrnn,2,177,0.08640912716855942,0.07095043923482411,0.01107925605754914
wm,idrnn,3,177,0.10759284511952294,0.09100326763771173,0.01451368769658872
wm,vanilla,1,177,0.039282926526308694,-0.07733692049845439,0.11271288116429445
wm,vanilla,2,177,0.017178591908885696,-0.08981726070670909,0.10003572653556926
wm,vanilla,3,177,0.04852363222166073,-0.03190000149561329,0.07463986034281138
