group,arch,subset,ntasks,n,canonical_r2,boot_sd
openness,idrnn,t0,1,238,0.023897618731055448,0.0125061561458879
openness,idrnn,t1,1,238,0.021686054587473858,0.0133915069458342
openness,idrnn,t2,1,238,0.015910337169689592,0.0132856617785665
openness,idrnn,t01,2,238,0.0220874481665575,0.0125927034516517
openness,idrnn,t02,2,238,0.035006903300876635,0.0139053098018939
openness,idrnn,t12,2,238,0.0183868853115966,0.015962428960195
openness,idrnn,t012,3,238,0.032347108434244154,0.0159329774530081
openness,vanilla,t0,1,238,0.016363907535174693,0.0152397964968666
openness,vanilla,t1,1,238,-0.010995697220437028,0.012733079732678
openness,vanilla,t2,1,238,0.01399019748558994,0.0163360289712486
openness,vanilla,t01,2,238,-0.002904484150092701,0.0127039352014449
openness,vanilla,t02,2,238,0.022600022877447223,0.0147807005977836
openness,vanilla,t12,2,238,-0.00968184711992448,0.012486448748084
openness,vanilla,t012,3,238,0.0062366692619839625,0.0138423627763514
wm,idrnn,t0,1,177,0.018972840108647564,0.013031010528565
wm,idrnn,t1,1,177,0.012618045648909337,0.0166233069457762
wm,idrnn,t2,1,177,0.13634395517345022,0.0137956383780083
wm,idrnn,t01,2,177,0.014664490859890966,0.0149216079104948
wm,idrnn,t02,2,177,0.10206049389373047,0.0145989782946544
wm,idrnn,t12,2,177,0.15297224557780106,0.0146498743752169
wm,idrnn,t012,3,177,0.11471348389443119,0.0165081271335162
wm,vanilla,t0,1,177,0.0023532131011075133,0.0127236310898102
wm,vanilla,t1,1,177,-0.002812746689289436,0.0132709780486035
wm,vanilla,t2,1,177,0.1152354953787994,0.0438979454278834
wm,vanilla,t01,2,177,-0.010948043082318412,0.0118613223838307
wm,vanilla,t02,2,177,0.04602929585264751,0.0197731416253139
wm,vanilla,t12,2,177,0.03303440642853354,0.0132941878564182
wm,vanilla,t012,3,177,0.07219161293322274,0.0207007796590134
