group,arch,subset,ntasks,n,boot_mean,boot_sd,boot_ci_lo,boot_ci_hi,boot_mean_sta,boot_sd_sta
openness,idrnn,t0,1,238,0.011106370320956774,0.012506156145887976,-0.014879656339416274,0.03344905830730631,-0.00284808501057264,0.012542503092358388
openness,idrnn,t1,1,238,0.011675292488707354,0.013391506945834202,-0.01470225879983939,0.03768539640658133,-0.005029105572974123,0.013345157687620688
openness,idrnn,t2,1,238,0.009468404937617119,0.013285661778566504,-0.017666303703228206,0.03549179004390214,-0.0029311897420270334,0.013332987480138942
openness,idrnn,t01,2,238,0.012257614465199925,0.012592703451651711,-0.01188252234197079,0.03526886450919571,0.0018133730431856199,0.012637991542323167
openness,idrnn,t02,2,238,0.02835406080589357,0.013905309801893915,0.0008552650477102939,0.05388160613216686,0.019772124078184867,0.013946641119687301
openness,idrnn,t12,2,238,0.00251984879008018,0.015962428960195067,-0.02560749070742127,0.03446248461888948,-0.004649316688871755,0.015980799758778294
openness,idrnn,t012,3,238,0.020408183428457093,0.015932977453008163,-0.009998596354750233,0.04992048115908326,0.013196167694738515,0.015926060510724246
openness,vanilla,t0,1,238,0.0022292054460082904,0.015239796496866657,-0.026035924691677204,0.030158295512492248,-0.006829489311268696,0.01523584867575961
openness,vanilla,t1,1,238,-0.025004056468382583,0.012733079732678098,-0.0494523401406301,0.0007420226615615223,-0.026291322080814274,0.012735501269359632
openness,vanilla,t2,1,238,-0.004803506675254603,0.016336028971248695,-0.03725175717953723,0.029342603276768197,-0.0067724341542290106,0.016357901077194592
openness,vanilla,t01,2,238,-0.01692752044269932,0.01270393520144496,-0.041906056089883605,0.008750421402641949,-0.02404402201351008,0.012714602036209853
openness,vanilla,t02,2,238,0.008946425385769846,0.01478070059778362,-0.020725737895472978,0.03869590172179883,-0.003169384919659689,0.014760885211241418
openness,vanilla,t12,2,238,-0.023067311875444006,0.012486448748084066,-0.046711073065698196,0.0008309097613187228,-0.026546596747285142,0.012510576445284787
openness,vanilla,t012,3,238,7.662793974055027e-05,0.01384236277635148,-0.02450760578844824,0.02625380722409467,-0.014108602397613322,0.013864030978902259
wm,idrnn,t0,1,177,0.007602690809780045,0.013031010528565071,-0.01933642593355617,0.03126804832952648,-0.010365634871211938,0.01304568756962237
wm,idrnn,t1,1,177,0.001346302722058805,0.01662330694577624,-0.034909170122061524,0.031030587860285015,-0.01819542952290674,0.016806392719317706
wm,idrnn,t2,1,177,0.13081540071047562,0.013795638378008372,0.10286524954044,0.1566514917099342,0.0979901010572563,0.013793140525479319
wm,idrnn,t01,2,177,0.0034527389396626484,0.014921607910494825,-0.02691442093125343,0.03283464912672257,-0.007609342383318139,0.014953944310896772
wm,idrnn,t02,2,177,0.09283731293949588,0.01459897829465449,0.06419443134349015,0.12204495464571581,0.07565226897598194,0.014663335431990767
wm,idrnn,t12,2,177,0.13614335320887586,0.014649874375216969,0.10847759528445891,0.16631750585910146,0.11978170015463697,0.01466960139704775
wm,idrnn,t012,3,177,0.09711819104006182,0.016508127133516234,0.06676064458810253,0.13018952548813195,0.08465140200859665,0.016519596718085085
wm,vanilla,t0,1,177,-0.010614023901279693,0.012723631089810257,-0.03691856928917889,0.013429451503096707,-0.020969041166825384,0.012911104408402272
wm,vanilla,t1,1,177,-0.019583829665416306,0.013270978048603584,-0.04730287994262436,0.0074944290525120645,-0.02316276086550667,0.013307784157317605
wm,vanilla,t2,1,177,0.08070529066349175,0.04389794542788346,-0.032165616850124444,0.13326684755418702,-0.004884682713920948,0.12715081413740312
wm,vanilla,t01,2,177,-0.0133151249007768,0.011861322383830739,-0.035426672111248024,0.00860500892259924,-0.023057688323442998,0.011968546896175833
wm,vanilla,t02,2,177,0.036989945537583294,0.019773141625313944,-0.009788294505522445,0.06959991867122123,-0.04950575613241132,0.07655170090594014
wm,vanilla,t12,2,177,0.024537265657931035,0.013294187856418208,-0.0008965069230808522,0.050982515895150876,0.002785403544411313,0.014342650811275092
wm,vanilla,t012,3,177,0.04803807866864771,0.0207007796590134,0.0003387116532102411,0.08084013476247216,0.009071334817077663,0.027797083351894927
