subid,nll_idrnn_all,nll_cp_rnn_all,nll_vanilla_all,nll_cog_em,nll_cog_cp,nll_ill_em,nll_ill_cp
2,0.443440864,0.444015336,0.42356645000000004,0.492563509202099,0.5116040789390007,0.4911035821989147,0.5391252163536394
3,0.5413718000000001,0.5337156000000001,0.533467092,0.6075450665476113,0.6714099153658594,0.6858711272751378,0.6870529424812312
4,0.438672178,0.434877216,0.40890617999999995,0.5607763756484336,0.5762073451228259,0.6207047907461394,0.6365787808321159
6,0.581385238,0.574739706,0.59979198,0.6518591643277353,0.6854128015432116,0.6770890800348188,0.6852598393989665
7,0.73127433,0.755916516,0.715443432,0.7653502013629642,0.7772670211778389,0.7940270333818324,0.803182945436918
8,0.632091606,0.66110058,0.630523328,0.7279783005959123,0.7288336119240588,0.7476869173159145,0.7582136642923225
10,0.623490328,0.6597598060000001,0.608243034,0.7155041066457581,0.7843035583991355,0.7286238081298937,0.7290662725673318
11,0.44869793199999997,0.43052779999999996,0.436447516,0.5712265887390402,0.5912166671905836,0.6808223888770003,0.6823349631828446
12,0.53839182,0.5247459539999999,0.51623523,0.6347587039572998,0.6408522225113924,0.6815924650195212,0.6812639565615766
13,0.629464428,0.64209077,0.631680876,0.6884898399355074,0.7042194512876585,0.7211259530736652,0.7200649036137525
14,0.531765736,0.535766282,0.52907682,0.6523999216430559,0.6564988360370136,0.7012492461351866,0.7002091153968978
16,0.60841718,0.61340997,0.575997596,0.6964568129729602,0.6941850790046435,0.72825452277369,0.7264212550970226
17,0.535688628,0.539619096,0.478169776,0.6547401255975728,0.6573884559438434,0.6718023515936766,0.669056233490727
19,0.50896261,0.501682134,0.5048883319999999,0.6017243572322691,0.6517717468788058,0.665836163320636,0.6688579007895749
20,0.494168098,0.47710889000000006,0.470644096,0.607190013231968,0.6182411246854731,0.6432364634527233,0.6507921584685851
21,0.40310705599999996,0.426335702,0.38649483399999995,0.50886935965452,0.5535891971815949,0.5288276637977171,0.5732279640272697
23,0.551718358,0.57679473,0.5294773260000001,0.669658071867696,0.7070203792805967,0.7969097291585548,0.8015333599721871
24,0.616448892,0.614210602,0.614550186,0.6776676925337801,0.7263553605104102,0.7139670070411136,0.7125867666596598
25,0.46725076200000004,0.46724607,0.45526772400000004,0.5463117805104387,0.56190739093083,0.5646815709115304,0.5957908694576594
26,0.72709401,0.753598788,0.7274135380000001,0.82078725898279,0.8513897989363193,0.8417794884483447,0.866991162041706
27,0.723733002,0.755243408,0.748639206,0.7553531131854275,0.7920281342317327,0.7708552748659815,0.7739269917438156
28,0.634038752,0.643924484,0.65059638,0.7201609469590388,0.7186483254885974,0.7494435399945157,0.7469194932298098
29,0.481113004,0.47716158000000003,0.45326536400000006,0.4416053088101074,0.4886952893289919,0.4390761283407125,0.5142789863013505
31,0.478690428,0.5096719559999999,0.46707794199999997,0.5403777253837205,0.5663670068467695,0.5849818645195425,0.6074620842837612
32,0.57349769,0.571638208,0.572870774,0.6568067480184826,0.6817359770640317,0.6900140323235677,0.6943286005617
33,0.654990986,0.674015912,0.659705768,0.6829874099974664,0.7370616945966968,0.740798668353838,0.7460279163384109
34,0.508956066,0.49602468999999993,0.488672604,0.5945760123502775,0.5993355678835537,0.6268579798228315,0.6371987809439806
35,0.629793916,0.631482182,0.614948468,0.6814223155646584,0.6823157090643756,0.706816317751341,0.706625701540398
36,0.568321698,0.55904946,0.54347013,0.6430080973696654,0.6542740114491009,0.6558301333449796,0.664965695875537
37,0.411827658,0.412161098,0.39605079600000004,0.5637882881440928,0.5914191356376854,0.7688215283483706,0.7673979939156461
38,0.38863599,0.384156306,0.36732431600000004,0.5966962533195145,0.611263055973772,0.7390728598858132,0.7368839438833652
