subid,nll_idrnn_task0,nll_idrnn_task1,nll_idrnn_all,nll_cp_rnn_task0,nll_cp_rnn_task1,nll_cp_rnn_all,nll_vanilla_task0,nll_vanilla_task1,nll_vanilla_all,nll_cog_em,nll_cog_cp,nll_ill_em,nll_ill_cp
2,0.4450916051864624,0.4324711859226227,0.4400434195995331,0.42326271533966064,0.44373759627342224,0.4314526319503784,0.4213768541812897,0.42581886053085327,0.42315369844436646,0.492563509202099,0.5116040789390007,0.4911035821989147,0.5391252163536394
3,0.399427592754364,0.7161954045295715,0.5261347889900208,0.40265795588493347,0.719561755657196,0.529419481754303,0.40113088488578796,0.7304285764694214,0.5328499674797058,0.6075450665476113,0.6714099153658594,0.6858711272751378,0.6870529424812312
4,0.35712262988090515,0.5008911490440369,0.4146300256252289,0.38195791840553284,0.5093005299568176,0.4328950047492981,0.35274165868759155,0.4900100827217102,0.4076490104198456,0.5607763756484336,0.5762073451228259,0.6207047907461394,0.6365787808321159
6,0.44624263048171997,0.7698900699615479,0.5757016539573669,0.4394673705101013,0.7806198000907898,0.5759284496307373,0.4696701169013977,0.7911474108695984,0.5982610583305359,0.6518591643277353,0.6854128015432116,0.6770890800348188,0.6852598393989665
7,0.6127040982246399,0.9624349474906921,0.7525964379310608,0.5812123417854309,0.9664424657821655,0.7353042960166931,0.5497809648513794,0.9563068747520447,0.7123912572860718,0.7653502013629642,0.7772670211778389,0.7940270333818324,0.803182945436918
8,0.609681248664856,0.7602503299713135,0.6699089407920837,0.6023034453392029,0.7569065093994141,0.6641446352005005,0.542133629322052,0.7523819804191589,0.6262330412864685,0.7279783005959123,0.7288336119240588,0.7476869173159145,0.7582136642923225
10,0.6100717782974243,0.8161634802818298,0.6925085186958313,0.5413172841072083,0.8523092865943909,0.6657140254974365,0.4681600034236908,0.8318960666656494,0.6136544346809387,0.7155041066457581,0.7843035583991355,0.7286238081298937,0.7290662725673318
11,0.40336573123931885,0.4758822023868561,0.4323723614215851,0.3926282823085785,0.48354700207710266,0.4289957582950592,0.4005383253097534,0.4862963557243347,0.4348415732383728,0.5712265887390402,0.5912166671905836,0.6808223888770003,0.6823349631828446
12,0.36719852685928345,0.723189651966095,0.5095949769020081,0.38173991441726685,0.7183180451393127,0.5163711309432983,0.3772062361240387,0.7284908294677734,0.5177199840545654,0.6347587039572998,0.6408522225113924,0.6815924650195212,0.6812639565615766
13,0.42367130517959595,0.9487264156341553,0.6336933374404907,0.4227745234966278,0.9535210728645325,0.6350730657577515,0.41096407175064087,0.9580563902854919,0.6298010349273682,0.6884898399355074,0.7042194512876585,0.7211259530736652,0.7200649036137525
14,0.3718578517436981,0.7507092356681824,0.5233983993530273,0.3840351104736328,0.749229371547699,0.5301128029823303,0.3757583200931549,0.7465050220489502,0.5240570306777954,0.6523999216430559,0.6564988360370136,0.7012492461351866,0.7002091153968978
16,0.4854477643966675,0.8141291737556458,0.6169204711914062,0.4647606611251831,0.8076931238174438,0.6019335985183716,0.44417187571525574,0.7688837647438049,0.5740566253662109,0.6964568129729602,0.6941850790046435,0.72825452277369,0.7264212550970226
17,0.33125603199005127,0.8048167824745178,0.52068030834198,0.3286234140396118,0.8056008815765381,0.519414484500885,0.3005940318107605,0.7486971616744995,0.47983530163764954,0.6547401255975728,0.6573884559438434,0.6718023515936766,0.669056233490727
19,0.4006638526916504,0.6402334570884705,0.49649161100387573,0.39852482080459595,0.6397753953933716,0.495025098323822,0.405435711145401,0.6486872434616089,0.5027363300323486,0.6017243572322691,0.6517717468788058,0.665836163320636,0.6688579007895749
20,0.42439165711402893,0.5696182250976562,0.48248231410980225,0.4114392101764679,0.5690640807151794,0.47448912262916565,0.4031534790992737,0.5673465728759766,0.46883073449134827,0.607190013231968,0.6182411246854731,0.6432364634527233,0.6507921584685851
