target,idrnn_pearson_mean,idrnn_pearson_sd,idrnn_spearman_mean,idrnn_spearman_sd,idrnn_loo_r_mean,idrnn_loo_r_sd,idrnn_loo_r2_mean,idrnn_loo_r2_sd,idrnn_best_pearson_mean,idrnn_best_pearson_sd,idrnn_frac_pos,vanilla_pearson_mean,vanilla_pearson_sd,vanilla_spearman_mean,vanilla_spearman_sd,vanilla_loo_r_mean,vanilla_loo_r_sd,vanilla_loo_r2_mean,vanilla_loo_r2_sd,vanilla_best_pearson_mean,vanilla_best_pearson_sd,vanilla_frac_pos
PANAS_PA,0.13644577168566252,0.03795475233927531,0.11747308788314585,0.03180642344512065,-0.1327299796564148,0.1650104513632815,-0.010779540231999406,0.012775529177116154,0.11025114393799433,0.03254050448608218,0.2,0.2628993172080093,0.004342915182439857,0.2418136054755203,0.00712342204620465,0.13851309231306116,0.03676987311131679,0.011712229336130009,0.014854127184102752,0.25266577809615354,0.006307317937216541,0.6
PANAS_NA,0.14492778001808287,0.02272773363988847,0.13043333842173013,0.02334014113375966,-0.17578740692916486,0.11807260362207492,-0.021559635176214908,0.015793485549872314,0.12453686231139263,0.02365948003111013,0.0,0.2681970442565526,0.0025956953717260907,0.237337614238936,0.007684938211306301,0.12689144233345748,0.03056642301862555,0.005824833203077984,0.013107215698176326,0.2607237981421573,0.003828209903766266,0.6
STICSA,0.1091221061732595,0.04531150874172093,0.09673370277574964,0.032764240213526766,-0.29613068103336443,0.1752151114567451,-0.015178671147215972,0.011995548991381827,0.08437230391014743,0.037901505255798704,0.1,0.05836186967059694,0.006670264497607153,0.06312182586520627,0.011680179927255334,-0.4763745435318582,0.05366944420754277,-0.012263902158448036,0.00034964973569161375,0.0422733669438732,0.005612906592710251,0.0
PHQ,0.09212910962794828,0.047489921477544494,0.07932093650804249,0.047803162918337076,-0.3629540640672209,0.2535540541654181,-0.010997936276792453,0.008469302835537628,0.07422718165022009,0.044301681070891705,0.1,0.03923190571003251,0.008720493984320642,0.01858736204260551,0.019704805057453537,-0.6379581801434686,0.08822842899899115,-0.012637022221421046,0.0002393621426749323,0.033838569631074546,0.008517419433026153,0.0
CEI,0.11694043129965175,0.054830866659229184,0.09948488143713294,0.05580714816089706,-0.24907782790103142,0.2256681793731815,-0.012525542659878652,0.015305754716434066,0.09804159746081748,0.044375091748978676,0.1,0.17586059195596926,0.01830539645175444,0.16227320582392876,0.03261074262888474,-0.015914569764681467,0.17052032061991956,-0.010185110377095219,0.02643596120115462,0.14614058707340738,0.010525767310490562,0.7
BIG5_open,0.20958642879392264,0.04586620507162721,0.20466711008517585,0.03299431607305491,0.10209171307167424,0.11364994196298504,0.016795678113794586,0.01534600604800961,0.17905327075236227,0.04231564552627465,0.9,0.20300081352864688,0.03973382985823659,0.18088313883975413,0.030627254290937926,0.08280378376069923,0.1099008344598298,0.011392255750359792,0.013225881121686222,0.173984650701789,0.04024733617879256,0.8
AxDep,0.11090030079308119,0.04211327861731568,0.11466592028660996,0.037983095983144276,-0.4192667024752101,0.22702393864357054,-0.015375356576723587,0.009764036280974591,0.08435676218519843,0.04081150873563284,0.1,0.05123143811611199,0.013273812712337353,0.03712785490371697,0.02313332191836365,-0.6086888361146089,0.12510756127212766,-0.015187156468253016,0.0004564611458533647,0.04190668855076869,0.013269029120730837,0.0
posMood,0.08957847811816602,0.027246637538821075,0.08325251408241881,0.02557727060388782,-0.46727854937130076,0.1610360354202833,-0.014389557831522914,0.001501946542577307,0.07600084671708082,0.0217985119588166,0.0,0.0955578596060195,0.018490057484922558,0.08997088652356262,0.024839363039903643,-0.311034372996857,0.05781431794285298,-0.012508275938138792,0.0008226191873536254,0.07839823006082476,0.010917740320309885,0.0
negMood,0.12368952252728468,0.03662667663734125,0.15088070097754003,0.03442230819914029,-0.345155475306003,0.13845593005801293,-0.015696698892045013,0.003967251578141669,0.11046590254345509,0.035853917030540236,0.0,0.06005838472451329,0.02326245117464103,0.14777902289424277,0.050723829298096816,-0.6079557716914763,0.12804834839494986,-0.016140246410065374,0.00039997308041085666,0.04498080826017666,0.013118766331032252,0.0
Exp,0.1484440709728317,0.047763353187764694,0.13908822212270489,0.0453381432728447,-0.2227948317940156,0.18898904661632746,-0.012265580454052117,0.008373087906287286,0.11291884306268003,0.0401229612090805,0.2,0.11964762247424557,0.02824524600259779,0.10066412897447378,0.024980613405893592,-0.4054162334779979,0.1952736128222253,-0.02202818080861544,0.02045301132069644,0.0807127099359809,0.04099731881039547,0.0
WM_composite,0.21930203397711398,0.034869436670691485,0.21311633281972267,0.0333714357689896,0.06392968729146101,0.1302291089034497,0.005488932433369986,0.015459596083270162,0.1874043870837805,0.025930764662247776,0.7,0.1568548938895227,0.03811522428129132,0.1796417565485362,0.038657659196955484,-0.059443166983444505,0.12505634324960518,-0.007629934893872259,0.011236849560603276,0.13908261919730375,0.03508404770793225,0.3
WM_OS,0.09168974712103023,0.025462023204765732,0.08845819868630143,0.04242190970616895,-0.4299505030033294,0.1302854439676821,-0.013836797766097165,0.0010235156477368956,0.07816720566238841,0.02084517433607281,0.0,0.04384542767449271,0.009696819794723753,0.05130659706950351,0.03474368210351429,-0.6145226295962672,0.07665424617640076,-0.014898387740723851,0.00029784452479413324,0.03744368116356907,0.00914443808632154,0.0
