dataset_id,fold,session,nll_summed,model
5,2,1,106.34083983089273,Q (common fit)
5,2,3,99.95379011279093,Q (common fit)
5,2,7,90.32262293877164,Q (common fit)
5,2,8,100.12351839991662,Q (common fit)
5,2,13,128.50301292948689,Q (common fit)
5,2,14,105.71982321124861,Q (common fit)
5,2,17,134.2791521701909,Q (common fit)
5,2,20,125.60030990361322,Q (common fit)
5,2,21,101.80441157331605,Q (common fit)
5,2,34,106.34711851051249,Q (common fit)
5,2,37,129.381886938594,Q (common fit)
5,2,43,107.6839545679047,Q (common fit)
5,2,48,128.7168839367081,Q (common fit)
5,2,49,136.05015689530046,Q (common fit)
5,2,50,94.21969730265644,Q (common fit)
5,2,52,70.18702629725773,Q (common fit)
5,2,53,91.34683648649158,Q (common fit)
5,2,54,113.51145379240495,Q (common fit)
5,2,57,116.38605986215573,Q (common fit)
5,2,58,130.2622444590239,Q (common fit)
5,2,59,105.7033372090497,Q (common fit)
5,2,63,134.83627604847777,Q (common fit)
5,2,71,122.97924940643112,Q (common fit)
5,2,72,126.19374618136963,Q (common fit)
5,2,74,136.0693046088088,Q (common fit)
5,2,80,126.9867277072539,Q (common fit)
5,2,83,131.50537295177298,Q (common fit)
5,2,87,135.1600657733319,Q (common fit)
5,2,88,77.88977644873079,Q (common fit)
5,2,89,88.92700627783275,Q (common fit)
5,2,91,119.77561552202914,Q (common fit)
5,2,92,122.08216990380393,Q (common fit)
5,2,99,135.30069078310947,Q (common fit)
5,2,102,116.63052131603331,Q (common fit)
5,2,103,97.51109877461273,Q (common fit)
5,2,105,84.34290969372718,Q (common fit)
5,2,106,120.78030084766628,Q (common fit)
5,2,107,74.39001966372753,Q (common fit)
5,2,110,80.7534012649343,Q (common fit)
5,2,116,133.56751229420084,Q (common fit)
5,2,121,129.8027200036672,Q (common fit)
5,2,129,71.75174436164086,Q (common fit)
5,2,130,98.91747616402738,Q (common fit)
5,2,131,91.987202056184,Q (common fit)
5,2,133,80.6490921863383,Q (common fit)
5,2,134,107.36368463953599,Q (common fit)
5,2,138,83.38848294505274,Q (common fit)
5,2,149,83.88146780638006,Q (common fit)
5,2,151,129.9492494270268,Q (common fit)
5,2,157,76.69300584185366,Q (common fit)
5,2,160,120.49728397392718,Q (common fit)
5,2,167,130.95074970458572,Q (common fit)
5,2,171,138.08798787450283,Q (common fit)
5,2,175,137.01225486043288,Q (common fit)
5,2,176,146.98585946894042,Q (common fit)
5,2,178,86.97627832881956,Q (common fit)
5,2,179,138.11441809332754,Q (common fit)
5,2,180,102.70508044630435,Q (common fit)
5,2,181,93.50834984313693,Q (common fit)
5,2,183,87.14764389284282,Q (common fit)
5,2,185,129.31647722237886,Q (common fit)
5,2,188,120.67580396414202,Q (common fit)
5,2,192,124.91158353887931,Q (common fit)
5,2,193,107.84853838741078,Q (common fit)
5,2,196,123.68226687192225,Q (common fit)
5,2,199,82.81009904564084,Q (common fit)
5,2,1,99.23950922826835,Q (MAP)
5,2,3,98.95572206684687,Q (MAP)
5,2,7,79.70091700974218,Q (MAP)
5,2,8,99.40173751523761,Q (MAP)
5,2,13,128.4830142438253,Q (MAP)
5,2,14,103.73177699196516,Q (MAP)
5,2,17,134.48164714555224,Q (MAP)
5,2,20,123.98466874559654,Q (MAP)
5,2,21,95.05605710217642,Q (MAP)
5,2,34,106.72484444267155,Q (MAP)
5,2,37,107.59981832452884,Q (MAP)
5,2,43,104.98528936799225,Q (MAP)
5,2,48,127.5742919153823,Q (MAP)
5,2,49,132.54957358809637,Q (MAP)
5,2,50,88.54042318335439,Q (MAP)
5,2,52,62.55898316575556,Q (MAP)
5,2,53,85.61529147443181,Q (MAP)
5,2,54,107.4509216772925,Q (MAP)
5,2,57,116.13799295710864,Q (MAP)
5,2,58,118.29665006785564,Q (MAP)
5,2,59,101.21487074217491,Q (MAP)
5,2,63,132.9119364698453,Q (MAP)
5,2,71,110.48744146862208,Q (MAP)
5,2,72,105.99676409300477,Q (MAP)
5,2,74,136.68275308617237,Q (MAP)
5,2,80,126.01141503341394,Q (MAP)
5,2,83,128.49318681663644,Q (MAP)
5,2,87,135.50656131337112,Q (MAP)
5,2,88,72.71296519306568,Q (MAP)
5,2,89,87.93794677243243,Q (MAP)
5,2,91,115.03953259899113,Q (MAP)
5,2,92,119.2408269067036,Q (MAP)
5,2,99,110.73070960283012,Q (MAP)
5,2,102,106.98939593142639,Q (MAP)
5,2,103,88.80612054017723,Q (MAP)
5,2,105,83.7193606448432,Q (MAP)
5,2,106,107.03451606122317,Q (MAP)
5,2,107,55.13707930988863,Q (MAP)
5,2,110,77.48186195624969,Q (MAP)
5,2,116,129.41685392183314,Q (MAP)
5,2,121,123.6419503140888,Q (MAP)
5,2,129,65.21998944790468,Q (MAP)
5,2,130,96.23782986528722,Q (MAP)
5,2,131,85.81195566757187,Q (MAP)
5,2,133,80.19255468888943,Q (MAP)
5,2,134,106.45432688650139,Q (MAP)
5,2,138,78.87684453521537,Q (MAP)
5,2,149,80.03443051045886,Q (MAP)
5,2,151,130.00903287397344,Q (MAP)
5,2,157,64.02267503155463,Q (MAP)
5,2,160,107.35946881370127,Q (MAP)
5,2,167,130.02005978484888,Q (MAP)
5,2,171,138.75092943992928,Q (MAP)
5,2,175,136.33104998572335,Q (MAP)
5,2,176,144.09723041072755,Q (MAP)
5,2,178,83.063391322992,Q (MAP)
5,2,179,138.36891544557147,Q (MAP)
5,2,180,100.81518071062827,Q (MAP)
5,2,181,85.02996516798903,Q (MAP)
5,2,183,82.93300831517408,Q (MAP)
5,2,185,128.88986784620943,Q (MAP)
5,2,188,119.6692511064481,Q (MAP)
5,2,192,126.56002377989073,Q (MAP)
5,2,193,108.95267920476068,Q (MAP)
5,2,196,120.09620802544327,Q (MAP)
5,2,199,65.989037458503,Q (MAP)
5,2,1,89.99655563301495,FQ (common fit)
5,2,3,82.64899463975728,FQ (common fit)
5,2,7,78.9484635994181,FQ (common fit)
5,2,8,81.80262867727724,FQ (common fit)
5,2,13,126.75783480041434,FQ (common fit)
5,2,14,95.48744296151922,FQ (common fit)
5,2,17,131.6608429125515,FQ (common fit)
5,2,20,125.42475825788382,FQ (common fit)
5,2,21,105.70775398795637,FQ (common fit)
5,2,34,81.70469769985557,FQ (common fit)
5,2,37,103.28799731995139,FQ (common fit)
5,2,43,87.27561153088438,FQ (common fit)
5,2,48,125.83301003515422,FQ (common fit)
5,2,49,133.840713928624,FQ (common fit)
5,2,50,63.119665738425226,FQ (common fit)
5,2,52,63.55969461862444,FQ (common fit)
5,2,53,66.39837579620756,FQ (common fit)
5,2,54,89.20686718682707,FQ (common fit)
5,2,57,111.28342169776148,FQ (common fit)
5,2,58,107.14063390592683,FQ (common fit)
5,2,59,88.00680529362602,FQ (common fit)
5,2,63,131.06751157010336,FQ (common fit)
5,2,71,98.83368919079408,FQ (common fit)
5,2,72,115.44423603993827,FQ (common fit)
5,2,74,134.90972207489122,FQ (common fit)
5,2,80,120.49465928458577,FQ (common fit)
5,2,83,127.62167502123985,FQ (common fit)
5,2,87,134.4648043586575,FQ (common fit)
5,2,88,72.79102230534414,FQ (common fit)
5,2,89,76.86793491771927,FQ (common fit)
5,2,91,117.7183123518485,FQ (common fit)
5,2,92,120.99739755186584,FQ (common fit)
5,2,99,109.1943931829366,FQ (common fit)
5,2,102,99.72569532315754,FQ (common fit)
5,2,103,87.78136926345896,FQ (common fit)
5,2,105,86.72973210466476,FQ (common fit)
5,2,106,74.87492146322334,FQ (common fit)
5,2,107,58.57986020822583,FQ (common fit)
5,2,110,70.79925245798239,FQ (common fit)
5,2,116,131.30099894012463,FQ (common fit)
5,2,121,126.91945313404028,FQ (common fit)
5,2,129,68.28749239846842,FQ (common fit)
5,2,130,88.07012923365868,FQ (common fit)
5,2,131,69.07178808274693,FQ (common fit)
5,2,133,75.71783649010223,FQ (common fit)
5,2,134,72.49024135996423,FQ (common fit)
5,2,138,72.09426137653594,FQ (common fit)
5,2,149,77.1307452395751,FQ (common fit)
5,2,151,128.30036904762437,FQ (common fit)
5,2,157,41.237773948663325,FQ (common fit)
5,2,160,74.90166561634747,FQ (common fit)
5,2,167,131.52431655825586,FQ (common fit)
5,2,171,138.2211031738921,FQ (common fit)
5,2,175,131.17760227380685,FQ (common fit)
5,2,176,141.47332073854474,FQ (common fit)
5,2,178,80.3608561909838,FQ (common fit)
5,2,179,136.81902480495228,FQ (common fit)
5,2,180,89.49180617085909,FQ (common fit)
5,2,181,90.08036196611219,FQ (common fit)
5,2,183,69.11712058244296,FQ (common fit)
5,2,185,127.67600296570583,FQ (common fit)
5,2,188,119.4835770098694,FQ (common fit)
5,2,192,93.14314031058746,FQ (common fit)
5,2,193,98.74516200911009,FQ (common fit)
5,2,196,119.90771359158884,FQ (common fit)
5,2,199,76.6652570163191,FQ (common fit)
5,2,1,86.09045315247263,FQ (MAP)
5,2,3,81.71517180029291,FQ (MAP)
5,2,7,71.47022533010255,FQ (MAP)
5,2,8,82.22653527231331,FQ (MAP)
5,2,13,126.70404955127586,FQ (MAP)
5,2,14,91.60487882953628,FQ (MAP)
5,2,17,131.48181788973872,FQ (MAP)
5,2,20,124.47211780707686,FQ (MAP)
5,2,21,96.18960341375416,FQ (MAP)
5,2,34,79.61709106871011,FQ (MAP)
5,2,37,98.76067471087558,FQ (MAP)
5,2,43,81.37680801801116,FQ (MAP)
5,2,48,124.82558294083469,FQ (MAP)
5,2,49,132.32007390347653,FQ (MAP)
5,2,50,55.2032731495549,FQ (MAP)
5,2,52,60.05436819473327,FQ (MAP)
5,2,53,62.44528828679302,FQ (MAP)
5,2,54,88.65195883441237,FQ (MAP)
5,2,57,106.173338955219,FQ (MAP)
5,2,58,104.35089274336553,FQ (MAP)
5,2,59,88.69412147595573,FQ (MAP)
5,2,63,130.16639603669745,FQ (MAP)
5,2,71,94.140434943947,FQ (MAP)
5,2,72,101.63465221062107,FQ (MAP)
5,2,74,135.1468734979885,FQ (MAP)
5,2,80,118.32638462196351,FQ (MAP)
5,2,83,125.92099159839678,FQ (MAP)
5,2,87,134.30849982922493,FQ (MAP)
5,2,88,69.98077908179779,FQ (MAP)
5,2,89,76.65813692129002,FQ (MAP)
5,2,91,115.47967067198692,FQ (MAP)
5,2,92,119.243805062512,FQ (MAP)
5,2,99,100.92800115888656,FQ (MAP)
5,2,102,99.9863962378974,FQ (MAP)
5,2,103,84.5067013350447,FQ (MAP)
5,2,105,85.10410900914643,FQ (MAP)
5,2,106,70.05325134994312,FQ (MAP)
5,2,107,50.442992209438415,FQ (MAP)
5,2,110,68.6408983908087,FQ (MAP)
5,2,116,129.51350608696885,FQ (MAP)
5,2,121,124.33849259396956,FQ (MAP)
5,2,129,66.98455921711492,FQ (MAP)
5,2,130,88.2836823670885,FQ (MAP)
5,2,131,67.53785622389638,FQ (MAP)
5,2,133,74.67621017970161,FQ (MAP)
5,2,134,68.87882397479709,FQ (MAP)
5,2,138,70.99166978543461,FQ (MAP)
5,2,149,76.22339030236299,FQ (MAP)
5,2,151,127.97034622681058,FQ (MAP)
5,2,157,35.343651108928114,FQ (MAP)
5,2,160,72.68412768707405,FQ (MAP)
5,2,167,130.90120832201328,FQ (MAP)
5,2,171,138.2699054995715,FQ (MAP)
5,2,175,131.31230184223668,FQ (MAP)
5,2,176,141.9517566817726,FQ (MAP)
5,2,178,75.29179937884835,FQ (MAP)
5,2,179,136.97441408176755,FQ (MAP)
5,2,180,88.29128556133772,FQ (MAP)
5,2,181,82.44716510169876,FQ (MAP)
5,2,183,68.01137594886164,FQ (MAP)
5,2,185,127.1896993037793,FQ (MAP)
5,2,188,118.74304911343084,FQ (MAP)
5,2,192,87.87249568384202,FQ (MAP)
5,2,193,97.66529840146704,FQ (MAP)
5,2,196,116.049060660236,FQ (MAP)
5,2,199,66.62857146805509,FQ (MAP)
5,2,1,85.47520908104488,True model
5,2,3,81.6053708364459,True model
5,2,7,70.71990260728116,True model
5,2,8,83.13726607844265,True model
5,2,13,128.39958573603033,True model
5,2,14,91.45842279900702,True model
5,2,17,131.44348864482606,True model
5,2,20,124.30103615031288,True model
5,2,21,96.57278585675405,True model
5,2,34,80.3108391417645,True model
5,2,37,98.43902707570327,True model
5,2,43,80.68118580332532,True model
5,2,48,125.4673968851474,True model
5,2,49,132.06357861505745,True model
5,2,50,53.62329705947529,True model
5,2,52,61.217124034069386,True model
5,2,53,62.9269953957505,True model
5,2,54,88.64501602280328,True model
5,2,57,106.07005865654456,True model
5,2,58,104.49866171025143,True model
5,2,59,89.29257133695575,True model
5,2,63,130.45943802031326,True model
5,2,71,94.11358675939262,True model
5,2,72,100.97014389537912,True model
5,2,74,137.1251771219765,True model
5,2,80,118.27853216479701,True model
5,2,83,127.8653743796394,True model
5,2,87,135.72509066239706,True model
5,2,88,69.4663924940387,True model
5,2,89,76.75286115957829,True model
5,2,91,115.18512394069509,True model
5,2,92,118.86096734912525,True model
5,2,99,100.55539879041578,True model
5,2,102,100.09100059842052,True model
5,2,103,86.17415512118686,True model
5,2,105,85.03305211021556,True model
