dataset_id,fold,session,nll_summed,model
12,2,1,130.11218305703983,Q (common fit)
12,2,3,131.70762306559232,Q (common fit)
12,2,7,99.43950666369886,Q (common fit)
12,2,8,94.97965617769395,Q (common fit)
12,2,13,111.23877766594944,Q (common fit)
12,2,14,101.63082329392932,Q (common fit)
12,2,17,119.87604715258355,Q (common fit)
12,2,20,126.83241118047222,Q (common fit)
12,2,21,82.74935362155314,Q (common fit)
12,2,34,135.24790382556284,Q (common fit)
12,2,37,140.75480599174742,Q (common fit)
12,2,43,100.84187774661827,Q (common fit)
12,2,48,112.22773958022084,Q (common fit)
12,2,49,140.0705291711072,Q (common fit)
12,2,50,121.97747823402264,Q (common fit)
12,2,52,83.91469627410221,Q (common fit)
12,2,53,104.76395681868463,Q (common fit)
12,2,54,91.64832034389148,Q (common fit)
12,2,57,97.08971726944031,Q (common fit)
12,2,58,116.33036722173121,Q (common fit)
12,2,59,134.31288676602858,Q (common fit)
12,2,63,93.62089962070768,Q (common fit)
12,2,71,97.37852735039203,Q (common fit)
12,2,72,139.5498964739131,Q (common fit)
12,2,74,141.88699812253236,Q (common fit)
12,2,80,126.5029336891906,Q (common fit)
12,2,83,139.64550360025524,Q (common fit)
12,2,87,109.16219845734149,Q (common fit)
12,2,88,128.7581188353663,Q (common fit)
12,2,89,91.71451806099155,Q (common fit)
12,2,91,85.66316863964178,Q (common fit)
12,2,92,104.17366271500026,Q (common fit)
12,2,99,127.13249874072937,Q (common fit)
12,2,102,119.40189570933767,Q (common fit)
12,2,103,128.14054049820666,Q (common fit)
12,2,105,116.01713058152266,Q (common fit)
12,2,106,126.005771729193,Q (common fit)
12,2,107,105.68676848821032,Q (common fit)
12,2,110,119.85491200003916,Q (common fit)
12,2,116,133.6823521151618,Q (common fit)
12,2,121,129.90298146790394,Q (common fit)
12,2,129,98.13631137110507,Q (common fit)
12,2,130,132.40017985510065,Q (common fit)
12,2,131,131.1302820206818,Q (common fit)
12,2,133,94.41101350758122,Q (common fit)
12,2,134,86.9229194075478,Q (common fit)
12,2,138,85.89891568437598,Q (common fit)
12,2,149,134.6127136291422,Q (common fit)
12,2,151,127.1467343106326,Q (common fit)
12,2,157,102.32040361286232,Q (common fit)
12,2,160,132.7395248670379,Q (common fit)
12,2,167,138.94953853765944,Q (common fit)
12,2,171,109.76770991954876,Q (common fit)
12,2,175,104.68422358785115,Q (common fit)
12,2,176,131.19085690761165,Q (common fit)
12,2,178,135.20156541189007,Q (common fit)
12,2,179,113.07060850348155,Q (common fit)
12,2,180,127.82239861485407,Q (common fit)
12,2,181,105.96747572341845,Q (common fit)
12,2,183,100.30088857378051,Q (common fit)
12,2,185,134.63734261331155,Q (common fit)
12,2,188,93.19611556001117,Q (common fit)
12,2,192,104.63760269159077,Q (common fit)
12,2,193,127.90292375987856,Q (common fit)
12,2,196,106.72414717066536,Q (common fit)
12,2,199,130.61205010784903,Q (common fit)
12,2,1,121.44291447766123,Q (MAP)
12,2,3,130.59963243717704,Q (MAP)
12,2,7,93.76031774138634,Q (MAP)
12,2,8,94.7075954733216,Q (MAP)
12,2,13,109.39936556017138,Q (MAP)
12,2,14,99.44854416767679,Q (MAP)
12,2,17,118.76419515648205,Q (MAP)
12,2,20,121.98411024707367,Q (MAP)
12,2,21,74.54836810068035,Q (MAP)
12,2,34,134.1490845882101,Q (MAP)
12,2,37,137.21750583366008,Q (MAP)
12,2,43,94.56314549327418,Q (MAP)
12,2,48,109.82265586525037,Q (MAP)
12,2,49,138.77863456330138,Q (MAP)
12,2,50,113.31810239163242,Q (MAP)
12,2,52,76.36893257948613,Q (MAP)
12,2,53,100.4134532182391,Q (MAP)
12,2,54,91.44178587658274,Q (MAP)
12,2,57,97.41630494949524,Q (MAP)
12,2,58,89.85354036311992,Q (MAP)
12,2,59,130.45601483917105,Q (MAP)
12,2,63,92.81559682390639,Q (MAP)
12,2,71,95.8100489782364,Q (MAP)
12,2,72,104.35941393932099,Q (MAP)
12,2,74,139.90575379196994,Q (MAP)
12,2,80,122.24995466078796,Q (MAP)
12,2,83,136.1776623414329,Q (MAP)
12,2,87,105.6696285100289,Q (MAP)
12,2,88,123.44052191693034,Q (MAP)
12,2,89,90.06550613287703,Q (MAP)
12,2,91,79.86309053956512,Q (MAP)
12,2,92,87.9479950590007,Q (MAP)
12,2,99,116.63765081341698,Q (MAP)
12,2,102,113.11547410037157,Q (MAP)
12,2,103,127.24227785729948,Q (MAP)
12,2,105,114.80127780132405,Q (MAP)
12,2,106,125.28408747926507,Q (MAP)
12,2,107,95.19917430448075,Q (MAP)
12,2,110,114.00675743688521,Q (MAP)
12,2,116,133.65101430940183,Q (MAP)
12,2,121,124.53596111457759,Q (MAP)
12,2,129,90.60281002977983,Q (MAP)
12,2,130,132.24383498866905,Q (MAP)
12,2,131,131.50871446142628,Q (MAP)
12,2,133,91.38178448039196,Q (MAP)
12,2,134,80.9842175712335,Q (MAP)
12,2,138,84.8670102607491,Q (MAP)
12,2,149,134.39201440579137,Q (MAP)
12,2,151,123.91388594796821,Q (MAP)
12,2,157,102.10094718731958,Q (MAP)
12,2,160,132.97698169118655,Q (MAP)
12,2,167,135.70950086645868,Q (MAP)
12,2,171,102.1482262456094,Q (MAP)
12,2,175,103.54288142486199,Q (MAP)
12,2,176,129.79614786845158,Q (MAP)
12,2,178,134.74335191048056,Q (MAP)
12,2,179,100.96768133867624,Q (MAP)
12,2,180,120.1153265335259,Q (MAP)
12,2,181,83.31852360624866,Q (MAP)
12,2,183,97.31011733896275,Q (MAP)
12,2,185,132.2774162655171,Q (MAP)
12,2,188,82.96497577480788,Q (MAP)
12,2,192,96.61275679381609,Q (MAP)
12,2,193,126.0473579999072,Q (MAP)
12,2,196,106.41157326224314,Q (MAP)
12,2,199,127.61596990842652,Q (MAP)
12,2,1,127.45401350344427,FQ (common fit)
12,2,3,130.65987136155314,FQ (common fit)
12,2,7,81.57991445283092,FQ (common fit)
12,2,8,74.51918575395192,FQ (common fit)
12,2,13,112.5486298330707,FQ (common fit)
12,2,14,96.2381236934581,FQ (common fit)
12,2,17,121.46543788503838,FQ (common fit)
12,2,20,122.90346955749371,FQ (common fit)
12,2,21,68.528998933818,FQ (common fit)
12,2,34,134.22900731411045,FQ (common fit)
12,2,37,138.4605743256716,FQ (common fit)
12,2,43,69.6769929554966,FQ (common fit)
12,2,48,89.64798633797562,FQ (common fit)
12,2,49,142.82602317733358,FQ (common fit)
12,2,50,118.06664999419581,FQ (common fit)
12,2,52,80.24254397130883,FQ (common fit)
12,2,53,84.07114150394541,FQ (common fit)
12,2,54,81.97006261904164,FQ (common fit)
12,2,57,97.16096655077732,FQ (common fit)
12,2,58,95.4663208022245,FQ (common fit)
12,2,59,118.70834842894699,FQ (common fit)
12,2,63,87.5962012065288,FQ (common fit)
12,2,71,94.77601139224427,FQ (common fit)
12,2,72,121.95397064100243,FQ (common fit)
12,2,74,139.9484566489693,FQ (common fit)
12,2,80,125.59466707718822,FQ (common fit)
12,2,83,141.6398024269859,FQ (common fit)
12,2,87,95.19319831687453,FQ (common fit)
