dataset_id,fold,session,nll_summed,model
15,0,5,96.91284852634321,Q (common fit)
15,0,9,121.37577071670854,Q (common fit)
15,0,12,128.16666789469846,Q (common fit)
15,0,15,108.23509156041762,Q (common fit)
15,0,16,135.54244587376158,Q (common fit)
15,0,18,99.21571459765947,Q (common fit)
15,0,19,72.2401247153836,Q (common fit)
15,0,24,87.90528310577551,Q (common fit)
15,0,29,130.26123663722984,Q (common fit)
15,0,30,126.92305428719114,Q (common fit)
15,0,31,106.95666413974375,Q (common fit)
15,0,35,133.80652432075559,Q (common fit)
15,0,38,105.60698734703838,Q (common fit)
15,0,42,140.70214963023363,Q (common fit)
15,0,45,126.7899339093659,Q (common fit)
15,0,55,88.23307696291947,Q (common fit)
15,0,56,127.71213692955796,Q (common fit)
15,0,60,128.64076841880427,Q (common fit)
15,0,65,139.9331057648495,Q (common fit)
15,0,66,140.72347702626405,Q (common fit)
15,0,67,132.66569902445337,Q (common fit)
15,0,68,116.61863387235178,Q (common fit)
15,0,69,100.29423951261407,Q (common fit)
15,0,73,106.17967266508991,Q (common fit)
15,0,75,123.39679816157529,Q (common fit)
15,0,76,120.62761745661697,Q (common fit)
15,0,78,130.0027634535462,Q (common fit)
15,0,79,136.64423862382478,Q (common fit)
15,0,82,85.34029431061902,Q (common fit)
15,0,84,132.69788147120906,Q (common fit)
15,0,86,88.61519213493165,Q (common fit)
15,0,93,123.04356160091955,Q (common fit)
15,0,95,129.29025782917452,Q (common fit)
15,0,96,107.72541211858905,Q (common fit)
15,0,97,91.74093387550101,Q (common fit)
15,0,98,130.95135177368775,Q (common fit)
15,0,104,84.10737785871353,Q (common fit)
15,0,114,123.35176529178644,Q (common fit)
15,0,115,126.5474472558192,Q (common fit)
15,0,117,131.31417258729707,Q (common fit)
15,0,119,73.47891276154107,Q (common fit)
15,0,122,126.58924218141989,Q (common fit)
15,0,124,97.06124662921322,Q (common fit)
15,0,125,99.87996441123612,Q (common fit)
15,0,126,121.82642316844091,Q (common fit)
15,0,128,144.7258889589253,Q (common fit)
15,0,132,135.0186450655956,Q (common fit)
15,0,135,126.52587503304066,Q (common fit)
15,0,137,99.07977385965985,Q (common fit)
15,0,140,71.81197076079582,Q (common fit)
15,0,143,140.65565856090262,Q (common fit)
15,0,148,135.08023891040162,Q (common fit)
15,0,150,93.23794209176422,Q (common fit)
15,0,152,140.33775592376298,Q (common fit)
15,0,158,138.16847094991147,Q (common fit)
15,0,164,137.90836358635121,Q (common fit)
15,0,165,93.18120273764472,Q (common fit)
15,0,169,133.72400926812682,Q (common fit)
15,0,170,99.75081729295803,Q (common fit)
15,0,172,104.77366144451688,Q (common fit)
15,0,173,134.96457704493844,Q (common fit)
15,0,174,92.03695036948635,Q (common fit)
15,0,177,135.49527265259763,Q (common fit)
15,0,182,83.3335043828854,Q (common fit)
15,0,186,104.40553592627104,Q (common fit)
15,0,195,92.62074214640556,Q (common fit)
15,0,197,128.83507776502935,Q (common fit)
15,0,5,93.1601494593965,Q (MAP)
15,0,9,119.72614854982304,Q (MAP)
15,0,12,130.73859555515494,Q (MAP)
