dataset_id,fold,session,nll_summed,model
1,0,5,83.74117243132974,Q (common fit)
1,0,9,101.03746073504755,Q (common fit)
1,0,12,104.17503213290433,Q (common fit)
1,0,15,76.19241113452406,Q (common fit)
1,0,16,131.8897945842759,Q (common fit)
1,0,18,136.59006757934606,Q (common fit)
1,0,19,129.350129964369,Q (common fit)
1,0,24,103.86740936215885,Q (common fit)
1,0,29,128.55163563659076,Q (common fit)
1,0,30,124.974484816335,Q (common fit)
1,0,31,148.48029347949637,Q (common fit)
1,0,35,103.15029683545478,Q (common fit)
1,0,38,90.01125176711395,Q (common fit)
1,0,42,146.5267652082418,Q (common fit)
1,0,45,103.92594778466739,Q (common fit)
1,0,55,134.3567681561235,Q (common fit)
1,0,56,122.95734631796248,Q (common fit)
1,0,60,115.61327167216993,Q (common fit)
1,0,65,134.9882029488206,Q (common fit)
1,0,66,124.24240871953465,Q (common fit)
1,0,67,88.19088784784289,Q (common fit)
1,0,68,141.6924906606074,Q (common fit)
1,0,69,91.78100660140205,Q (common fit)
1,0,73,130.6900790964345,Q (common fit)
1,0,75,84.43005199316751,Q (common fit)
1,0,76,75.47615488658012,Q (common fit)
1,0,78,127.19329911683532,Q (common fit)
1,0,79,143.53187244193214,Q (common fit)
1,0,82,145.8053783134297,Q (common fit)
1,0,84,134.08050474051927,Q (common fit)
1,0,86,108.1120878469576,Q (common fit)
1,0,93,110.1685114602132,Q (common fit)
1,0,95,85.82490432613571,Q (common fit)
1,0,96,99.61338194551993,Q (common fit)
1,0,97,92.15500799863169,Q (common fit)
1,0,98,153.81128330287726,Q (common fit)
1,0,104,136.91966468816074,Q (common fit)
1,0,114,80.82238356219435,Q (common fit)
1,0,115,125.0286660840655,Q (common fit)
1,0,117,112.74161759952577,Q (common fit)
1,0,119,101.84085270306461,Q (common fit)
1,0,122,113.19408565596864,Q (common fit)
1,0,124,129.44177990392564,Q (common fit)
1,0,125,92.23774819440143,Q (common fit)
1,0,126,98.65523701970346,Q (common fit)
1,0,128,127.58255664478882,Q (common fit)
1,0,132,130.44906633077832,Q (common fit)
1,0,135,140.77591232796001,Q (common fit)
1,0,137,132.09650909388114,Q (common fit)
1,0,140,101.76674149068872,Q (common fit)
1,0,143,116.1770371732576,Q (common fit)
1,0,148,116.94984385244976,Q (common fit)
1,0,150,132.09689573781037,Q (common fit)
1,0,152,111.63772497020784,Q (common fit)
1,0,158,133.8817632196933,Q (common fit)
1,0,164,127.90763845590995,Q (common fit)
1,0,165,104.40759624367516,Q (common fit)
1,0,169,132.7259626691095,Q (common fit)
1,0,170,134.7425260906868,Q (common fit)
1,0,172,78.42224753117284,Q (common fit)
1,0,173,133.17719407866352,Q (common fit)
1,0,174,120.78912938499228,Q (common fit)
1,0,177,126.9378128932121,Q (common fit)
1,0,182,122.36926807042086,Q (common fit)
1,0,186,91.3740921996182,Q (common fit)
1,0,195,127.1540158395108,Q (common fit)
1,0,197,131.21486815599624,Q (common fit)
1,0,5,81.6889085735549,Q (MAP)
1,0,9,94.59630480734863,Q (MAP)
1,0,12,98.56561318456369,Q (MAP)
1,0,15,68.17567839333083,Q (MAP)
1,0,16,132.24679096099612,Q (MAP)
1,0,18,137.05488138785026,Q (MAP)
1,0,19,131.95103846123456,Q (MAP)
1,0,24,103.76745405479811,Q (MAP)
1,0,29,119.31115366550574,Q (MAP)
1,0,30,127.24757163229107,Q (MAP)
1,0,31,137.55676855480846,Q (MAP)
1,0,35,100.62985578498828,Q (MAP)
1,0,38,82.43656380239358,Q (MAP)
1,0,42,136.5875708731474,Q (MAP)
1,0,45,96.54691583800657,Q (MAP)
1,0,55,133.35565477127932,Q (MAP)
1,0,56,122.21894812908668,Q (MAP)
1,0,60,112.95342732267903,Q (MAP)
1,0,65,134.6773531244493,Q (MAP)
1,0,66,123.87814443622607,Q (MAP)
1,0,67,82.61238812227664,Q (MAP)
1,0,68,138.1119101657637,Q (MAP)
1,0,69,86.37444471311952,Q (MAP)
1,0,73,129.21667414791426,Q (MAP)
1,0,75,80.95508972484073,Q (MAP)
1,0,76,68.72208225366381,Q (MAP)
1,0,78,126.60765592276594,Q (MAP)
1,0,79,145.0747984431078,Q (MAP)
1,0,82,139.3869044814257,Q (MAP)
1,0,84,133.29010155343468,Q (MAP)
1,0,86,105.12168517962048,Q (MAP)
1,0,93,108.82065631839808,Q (MAP)
1,0,95,61.660961046125465,Q (MAP)
1,0,96,97.5517737152376,Q (MAP)
1,0,97,90.18814621271443,Q (MAP)
1,0,98,114.34676296482597,Q (MAP)
1,0,104,136.84540313669828,Q (MAP)
1,0,114,76.05421091047315,Q (MAP)
1,0,115,123.73099753695102,Q (MAP)
1,0,117,103.68838925342828,Q (MAP)
1,0,119,95.71592394057987,Q (MAP)
1,0,122,109.7647572761504,Q (MAP)
1,0,124,128.96873194802347,Q (MAP)
1,0,125,89.54810184635704,Q (MAP)
1,0,126,95.82839709892266,Q (MAP)
1,0,128,116.03370988874515,Q (MAP)
1,0,132,129.9724635240948,Q (MAP)
1,0,135,140.53919094992068,Q (MAP)
1,0,137,130.7615183377115,Q (MAP)
1,0,140,102.53084205468485,Q (MAP)
1,0,143,105.44324493503346,Q (MAP)
1,0,148,83.24933706098437,Q (MAP)
1,0,150,130.65321215349996,Q (MAP)
1,0,152,107.60460974303898,Q (MAP)
1,0,158,135.03981633619074,Q (MAP)
1,0,164,116.09502692920813,Q (MAP)
1,0,165,103.84471305433404,Q (MAP)
1,0,169,133.7269483934825,Q (MAP)
1,0,170,134.71592095342712,Q (MAP)
1,0,172,74.48388286925221,Q (MAP)
1,0,173,132.06544108652693,Q (MAP)
1,0,174,120.49825505035382,Q (MAP)
1,0,177,126.23566394900243,Q (MAP)
1,0,182,113.97752677594649,Q (MAP)
1,0,186,80.32662289143931,Q (MAP)
1,0,195,125.36223890429756,Q (MAP)
1,0,197,128.1837471917839,Q (MAP)
1,0,5,84.977527916388,FQ (common fit)
1,0,9,83.5342237909857,FQ (common fit)
1,0,12,80.61376727896082,FQ (common fit)
1,0,15,71.45079872388975,FQ (common fit)
1,0,16,132.76562519322917,FQ (common fit)
1,0,18,133.33646646785408,FQ (common fit)
1,0,19,96.50110736466902,FQ (common fit)
1,0,24,84.42561475662977,FQ (common fit)
1,0,29,133.5463649899268,FQ (common fit)
1,0,30,75.17424402912802,FQ (common fit)
1,0,31,114.06065940672256,FQ (common fit)
1,0,35,60.92834002922765,FQ (common fit)
1,0,38,79.1859541058213,FQ (common fit)
1,0,42,146.0256882960962,FQ (common fit)
1,0,45,78.55890606248605,FQ (common fit)
1,0,55,133.72396754867555,FQ (common fit)
1,0,56,123.24782970074831,FQ (common fit)
1,0,60,114.39423911583613,FQ (common fit)
1,0,65,134.21503497331406,FQ (common fit)
1,0,66,128.74555821972532,FQ (common fit)
1,0,67,75.14317021522348,FQ (common fit)
1,0,68,142.04086193591348,FQ (common fit)
1,0,69,81.8333461902302,FQ (common fit)
1,0,73,123.28267406505432,FQ (common fit)
1,0,75,76.40045187292743,FQ (common fit)
1,0,76,66.19997727641866,FQ (common fit)
1,0,78,127.93102357567385,FQ (common fit)
1,0,79,133.4373054599126,FQ (common fit)
1,0,82,136.71947954361394,FQ (common fit)
1,0,84,132.3978314487675,FQ (common fit)
1,0,86,90.21568469089495,FQ (common fit)
1,0,93,81.64231118302159,FQ (common fit)
1,0,95,65.38233567303065,FQ (common fit)
1,0,96,82.96924444727573,FQ (common fit)
1,0,97,80.69120333987472,FQ (common fit)
1,0,98,92.75880364851083,FQ (common fit)
1,0,104,136.9012353069267,FQ (common fit)
1,0,114,73.39872960560764,FQ (common fit)
1,0,115,119.46753376419689,FQ (common fit)
1,0,117,94.48321241635942,FQ (common fit)
1,0,119,92.79701142778387,FQ (common fit)
1,0,122,89.47026252156783,FQ (common fit)
1,0,124,132.5702783068325,FQ (common fit)
1,0,125,71.91167733956556,FQ (common fit)
1,0,126,84.43336315145216,FQ (common fit)
1,0,128,122.77804366870117,FQ (common fit)
1,0,132,130.03918860061114,FQ (common fit)
1,0,135,129.84091427553255,FQ (common fit)
1,0,137,132.5115052522543,FQ (common fit)
1,0,140,93.31792021442611,FQ (common fit)
1,0,143,57.9002047603827,FQ (common fit)
1,0,148,79.82635588276415,FQ (common fit)
1,0,150,130.23746303039655,FQ (common fit)
1,0,152,92.26455373601357,FQ (common fit)
1,0,158,131.45537724657575,FQ (common fit)
1,0,164,126.5573841120775,FQ (common fit)
1,0,165,81.2385177783007,FQ (common fit)
1,0,169,124.15505467329818,FQ (common fit)
1,0,170,134.65265624451337,FQ (common fit)
1,0,172,71.66596933251115,FQ (common fit)
1,0,173,133.552626855699,FQ (common fit)
1,0,174,121.35798174429084,FQ (common fit)
1,0,177,126.56558095652382,FQ (common fit)
1,0,182,119.39256276213581,FQ (common fit)
1,0,186,80.71408135761699,FQ (common fit)
1,0,195,127.38173723061936,FQ (common fit)
1,0,197,129.9517831596235,FQ (common fit)
1,0,5,81.96856336379157,FQ (MAP)
1,0,9,80.53044740050034,FQ (MAP)
1,0,12,73.90150883041323,FQ (MAP)
1,0,15,65.52623307493933,FQ (MAP)
1,0,16,132.92164696407605,FQ (MAP)
1,0,18,133.32769628679267,FQ (MAP)
1,0,19,95.95330045567226,FQ (MAP)
1,0,24,84.15940275268878,FQ (MAP)
1,0,29,123.5408313460648,FQ (MAP)
1,0,30,73.97596619946519,FQ (MAP)
1,0,31,107.43948268321368,FQ (MAP)
1,0,35,58.962236174280065,FQ (MAP)
1,0,38,77.95351443878963,FQ (MAP)
1,0,42,136.52107800021028,FQ (MAP)
1,0,45,74.76511052476967,FQ (MAP)
1,0,55,133.1619078855617,FQ (MAP)
1,0,56,122.90754265961097,FQ (MAP)
1,0,60,113.16395692210153,FQ (MAP)
1,0,65,133.72056333667734,FQ (MAP)
1,0,66,126.9215128865249,FQ (MAP)
1,0,67,72.81995992161578,FQ (MAP)
1,0,68,137.3879240061105,FQ (MAP)
1,0,69,79.45751432748513,FQ (MAP)
1,0,73,122.81855836681184,FQ (MAP)
1,0,75,75.40095089831088,FQ (MAP)
1,0,76,62.86121540421843,FQ (MAP)
1,0,78,127.66785769306159,FQ (MAP)
1,0,79,133.43987282678114,FQ (MAP)
1,0,82,135.59899847931135,FQ (MAP)
1,0,84,131.27093567637857,FQ (MAP)
1,0,86,86.69193488624873,FQ (MAP)
1,0,93,80.99918242650851,FQ (MAP)
1,0,95,61.57837462195738,FQ (MAP)
1,0,96,82.32521843921029,FQ (MAP)
1,0,97,80.26644988761096,FQ (MAP)
1,0,98,83.56020952666414,FQ (MAP)
1,0,104,136.40338447331104,FQ (MAP)
1,0,114,70.11936028058031,FQ (MAP)
1,0,115,119.13252514416297,FQ (MAP)
1,0,117,90.60137261790705,FQ (MAP)
1,0,119,90.93864203679324,FQ (MAP)
1,0,122,88.89627680782694,FQ (MAP)
1,0,124,130.7042216042763,FQ (MAP)
1,0,125,69.51719108742918,FQ (MAP)
1,0,126,78.71665376993131,FQ (MAP)
1,0,128,108.78005726395877,FQ (MAP)
1,0,132,128.15746121472097,FQ (MAP)
1,0,135,130.01451688436217,FQ (MAP)
1,0,137,131.3930319530524,FQ (MAP)
1,0,140,92.36519951540636,FQ (MAP)
1,0,143,56.31611463944153,FQ (MAP)
1,0,148,71.31961279959033,FQ (MAP)
1,0,150,129.96080376103316,FQ (MAP)
1,0,152,85.09094241418984,FQ (MAP)
1,0,158,131.5903265484318,FQ (MAP)
1,0,164,113.33199838321013,FQ (MAP)
1,0,165,79.38344044464499,FQ (MAP)
1,0,169,122.93659453529578,FQ (MAP)
1,0,170,134.61505670128213,FQ (MAP)
1,0,172,69.0014049831479,FQ (MAP)
1,0,173,132.3101683039002,FQ (MAP)
1,0,174,121.0221099113548,FQ (MAP)
1,0,177,126.57056438414968,FQ (MAP)
1,0,182,112.69809968153243,FQ (MAP)
1,0,186,78.57463418490795,FQ (MAP)
1,0,195,126.14587562603407,FQ (MAP)
1,0,197,128.7105769107624,FQ (MAP)
1,0,5,82.36767922546419,True model
1,0,9,80.28244575466923,True model
1,0,12,73.49321805188643,True model
1,0,15,65.19454419152481,True model
1,0,16,133.87787227575518,True model
1,0,18,133.4017473864095,True model
1,0,19,96.24583110091052,True model
1,0,24,84.74405864238216,True model
1,0,29,124.5378544529,True model
1,0,30,73.88228714903877,True model
1,0,31,107.3166697748001,True model
1,0,35,59.67173627144321,True model
1,0,38,78.39079905447059,True model
1,0,42,135.60052128338629,True model
1,0,45,74.86589295054311,True model
1,0,55,132.46026025865865,True model
1,0,56,125.74115501364913,True model
1,0,60,114.49585086627961,True model
1,0,65,133.84070646516784,True model
1,0,66,126.6959970136538,True model
1,0,67,72.64683127263034,True model
1,0,68,136.7346099678888,True model
1,0,69,80.26913905097112,True model
1,0,73,123.53083000462829,True model
1,0,75,75.58549678437775,True model
1,0,76,62.371055664900055,True model
1,0,78,127.68082993011376,True model
1,0,79,134.19730754089608,True model
1,0,82,136.1927314551711,True model
1,0,84,131.2069112785664,True model
1,0,86,86.43596790934015,True model
1,0,93,81.39265614649383,True model
1,0,95,64.37984696351157,True model
1,0,96,82.49123505829773,True model
1,0,97,80.21889331245427,True model
1,0,98,82.87089584086965,True model
1,0,104,135.36252099198572,True model
1,0,114,70.52505593206205,True model
1,0,115,122.67124350156173,True model
1,0,117,91.03260888387389,True model
1,0,119,91.69878229744518,True model
1,0,122,89.06992603366365,True model
1,0,124,130.4270775674392,True model
1,0,125,70.05742783957808,True model
1,0,126,78.25606080110302,True model
1,0,128,108.03038933447756,True model
1,0,132,129.14539467525515,True model
1,0,135,131.2850814410554,True model
1,0,137,131.0926117472032,True model
1,0,140,93.32257162787852,True model
1,0,143,56.550583178462055,True model
1,0,148,70.78251166158228,True model
1,0,150,129.47642720547066,True model
1,0,152,84.95963381086617,True model
