dataset_id,fold,session,nll_summed,model
7,1,0,136.30401639957316,Q (common fit)
7,1,2,118.57292031567665,Q (common fit)
7,1,4,84.66010156184385,Q (common fit)
7,1,6,132.97223612287047,Q (common fit)
7,1,10,156.68631564220922,Q (common fit)
7,1,11,147.38880030717465,Q (common fit)
7,1,22,96.08986266996956,Q (common fit)
7,1,23,85.22649215712235,Q (common fit)
7,1,25,87.35333903795896,Q (common fit)
7,1,26,119.27199545321699,Q (common fit)
7,1,27,93.74006676848163,Q (common fit)
7,1,28,86.53267814052323,Q (common fit)
7,1,32,99.32329419091928,Q (common fit)
7,1,33,83.50464352489107,Q (common fit)
7,1,36,91.6280502429757,Q (common fit)
7,1,39,135.0345207847597,Q (common fit)
7,1,40,132.63536226684792,Q (common fit)
7,1,41,118.41910802281343,Q (common fit)
7,1,44,90.34080642277885,Q (common fit)
7,1,46,143.57894397162042,Q (common fit)
7,1,47,137.8530101249208,Q (common fit)
7,1,51,92.20447052922341,Q (common fit)
7,1,61,98.17140126455196,Q (common fit)
7,1,62,102.91823738485819,Q (common fit)
7,1,64,138.9422025052632,Q (common fit)
7,1,70,68.23294435071578,Q (common fit)
7,1,77,139.20540321690186,Q (common fit)
7,1,81,138.31574906147637,Q (common fit)
7,1,85,90.75742427568254,Q (common fit)
7,1,90,132.90858694836794,Q (common fit)
7,1,94,94.81098408104624,Q (common fit)
7,1,100,102.51342330724258,Q (common fit)
7,1,101,80.93638621779999,Q (common fit)
7,1,108,91.0160042298589,Q (common fit)
7,1,109,120.97374699195495,Q (common fit)
7,1,111,73.16864977962936,Q (common fit)
7,1,112,95.63060980189523,Q (common fit)
7,1,113,63.082372911829474,Q (common fit)
7,1,118,99.920486698815,Q (common fit)
7,1,120,138.25711138589992,Q (common fit)
7,1,123,89.57781959627681,Q (common fit)
7,1,127,68.44513884853224,Q (common fit)
7,1,136,95.63177926851027,Q (common fit)
7,1,139,80.28659425855072,Q (common fit)
7,1,141,123.41692716566308,Q (common fit)
7,1,142,133.15091208235071,Q (common fit)
7,1,144,110.00410883515443,Q (common fit)
7,1,145,161.66302745660235,Q (common fit)
7,1,146,92.12879276755699,Q (common fit)
7,1,147,90.0203894722793,Q (common fit)
7,1,153,92.85793148653303,Q (common fit)
7,1,154,136.17051231952817,Q (common fit)
7,1,155,114.08669894510865,Q (common fit)
7,1,156,98.87595639779896,Q (common fit)
