dataset_id,fold,session,nll_summed
0,0,0,129.66629028320312
0,0,1,79.53071594238281
0,0,2,70.41744232177734
0,0,3,103.11177062988281
0,0,4,66.40860748291016
0,0,5,139.13980102539062
0,0,6,107.240234375
0,0,7,87.91580963134766
0,0,8,126.3565673828125
0,0,9,78.49128723144531
0,0,10,66.24313354492188
0,0,11,125.89871978759766
0,0,12,130.70425415039062
0,0,13,147.909423828125
0,0,14,81.60060119628906
0,0,15,88.73126983642578
0,0,16,147.9689483642578
0,0,17,63.50439453125
0,0,18,141.74285888671875
0,0,19,136.92593383789062
0,0,20,133.2532501220703
0,0,21,106.51737976074219
0,0,22,138.77401733398438
0,0,23,78.73960876464844
0,0,24,91.83488464355469
0,0,25,141.56590270996094
0,0,26,92.33769989013672
0,0,27,71.57811737060547
0,0,28,90.6656723022461
0,0,29,73.8177719116211
0,0,30,85.81535339355469
0,0,31,92.52601623535156
0,0,32,86.85968017578125
0,0,33,93.07441711425781
0,0,34,83.95506286621094
0,0,35,150.9696502685547
0,0,36,80.31422424316406
0,0,37,136.61196899414062
0,0,38,61.128143310546875
0,0,39,72.09497833251953
0,0,40,91.85111236572266
0,0,41,123.14213562011719
0,0,42,82.48968505859375
0,0,43,129.0155792236328
0,0,44,85.6672592163086
0,0,45,142.03524780273438
0,0,46,143.98275756835938
0,0,47,141.21273803710938
0,0,48,63.90803146362305
0,0,49,73.09517669677734
0,0,50,96.76995086669922
0,0,51,158.10780334472656
0,0,52,47.736000061035156
0,0,53,147.4370880126953
0,0,54,122.55902099609375
0,0,55,111.4057846069336
0,0,56,129.0806884765625
0,0,57,130.5644073486328
0,0,58,135.0899658203125
0,0,59,66.11576843261719
0,0,60,140.4449462890625
0,0,61,78.58427429199219
0,0,62,74.62841796875
0,0,63,136.13714599609375
0,0,64,93.47419738769531
0,0,65,70.92454528808594
0,0,66,79.37522888183594
0,1,0,73.75354766845703
0,1,1,91.87467956542969
0,1,2,86.15968322753906
0,1,3,118.96003723144531
0,1,4,126.5705337524414
0,1,5,64.4613037109375
0,1,6,143.250244140625
0,1,7,87.80145263671875
0,1,8,129.78317260742188
0,1,9,107.52189636230469
0,1,10,124.46159362792969
0,1,11,87.7414321899414
0,1,12,122.9863052368164
0,1,13,83.50782775878906
0,1,14,99.03594970703125
0,1,15,91.62400817871094
0,1,16,148.76541137695312
0,1,17,84.16839599609375
0,1,18,104.60676574707031
0,1,19,94.33067321777344
0,1,20,93.2135238647461
0,1,21,73.70210266113281
0,1,22,94.74421691894531
0,1,23,82.1318130493164
0,1,24,68.97331237792969
0,1,25,145.4770050048828
0,1,26,125.8559341430664
0,1,27,143.87759399414062
0,1,28,86.27528381347656
0,1,29,136.93008422851562
0,1,30,66.38676452636719
0,1,31,146.92068481445312
0,1,32,55.446128845214844
0,1,33,147.701904296875
0,1,34,131.775390625
0,1,35,157.27072143554688
0,1,36,136.5290985107422
0,1,37,84.54890441894531
0,1,38,68.96490478515625
0,1,39,85.37962341308594
0,1,40,105.14384460449219
0,1,41,81.19563293457031
0,1,42,93.48843383789062
0,1,43,83.11192321777344
0,1,44,150.54800415039062
0,1,45,94.80584716796875
0,1,46,81.7213134765625
0,1,47,141.7068328857422
0,1,48,76.57122039794922
0,1,49,73.33296203613281
0,1,50,142.9740447998047
0,1,51,95.05523681640625
0,1,52,89.0956802368164
0,1,53,105.13797760009766
0,1,54,137.4371337890625
0,1,55,93.00152587890625
0,1,56,77.55137634277344
0,1,57,85.31343078613281
0,1,58,111.65440368652344
0,1,59,111.58952331542969
0,1,60,139.5918426513672
0,1,61,148.74853515625
0,1,62,142.55679321289062
0,1,63,82.54736328125
0,1,64,87.7839584350586
0,1,65,136.45474243164062
0,1,66,93.4026870727539
0,2,0,56.47856521606445
0,2,1,84.73087310791016
0,2,2,80.0079116821289
0,2,3,138.86558532714844
0,2,4,105.3316421508789
0,2,5,128.75286865234375
0,2,6,131.84617614746094
0,2,7,133.59927368164062
0,2,8,143.902099609375
0,2,9,94.76319122314453
0,2,10,139.34185791015625
0,2,11,126.36456298828125
0,2,12,131.6072540283203
0,2,13,100.19681549072266
0,2,14,68.43313598632812
0,2,15,82.24823760986328
0,2,16,133.76002502441406
0,2,17,72.02371978759766
0,2,18,110.63043212890625
0,2,19,146.94972229003906
0,2,20,141.85830688476562
0,2,21,72.23419952392578
0,2,22,85.791748046875
0,2,23,153.1736602783203
0,2,24,81.52406311035156
0,2,25,87.7261962890625
0,2,26,147.91629028320312
0,2,27,75.36534881591797
0,2,28,88.64027404785156
0,2,29,90.0634994506836
0,2,30,72.34888458251953
0,2,31,131.4612579345703
0,2,32,143.14022827148438
0,2,33,99.38553619384766
0,2,34,83.80101013183594
0,2,35,74.67913055419922
0,2,36,136.16751098632812
0,2,37,130.5156707763672
0,2,38,145.19631958007812
0,2,39,60.088157653808594
0,2,40,74.67574310302734
0,2,41,128.78952026367188
0,2,42,87.01283264160156
0,2,43,107.6295166015625
0,2,44,127.5524673461914
0,2,45,86.91657257080078
0,2,46,75.50834655761719
0,2,47,79.15534973144531
0,2,48,99.19276428222656
0,2,49,118.6740493774414
0,2,50,77.78880310058594
0,2,51,99.9207763671875
0,2,52,124.9430160522461
0,2,53,142.1417694091797
0,2,54,122.87474060058594
0,2,55,138.66238403320312
0,2,56,114.04243469238281
0,2,57,78.10591125488281
0,2,58,144.87379455566406
0,2,59,86.71641540527344
0,2,60,82.49342346191406
0,2,61,74.59168243408203
0,2,62,97.37599182128906
0,2,63,90.66986846923828
0,2,64,97.38883972167969
0,2,65,74.80049133300781
1,0,0,85.19718170166016
1,0,1,83.15559387207031
1,0,2,80.49644470214844
1,0,3,71.29181671142578
1,0,4,133.6375732421875
1,0,5,133.93807983398438
1,0,6,97.29241180419922
1,0,7,85.41351318359375
1,0,8,137.83071899414062
1,0,9,74.65711975097656
1,0,10,116.60640716552734
1,0,11,61.38045120239258
1,0,12,78.37054443359375
1,0,13,147.89297485351562
1,0,14,78.67019653320312
1,0,15,133.44842529296875
1,0,16,122.19075775146484
1,0,17,113.27149963378906
1,0,18,134.28517150878906
1,0,19,129.35031127929688
1,0,20,74.63584899902344
1,0,21,143.8252716064453
1,0,22,80.849853515625
1,0,23,123.24220275878906
1,0,24,76.25096893310547
1,0,25,65.8736801147461
1,0,26,126.94232177734375
1,0,27,134.6050567626953
1,0,28,137.22018432617188
1,0,29,132.36129760742188
1,0,30,90.59561157226562
1,0,31,81.08815002441406
1,0,32,64.9407958984375
1,0,33,83.70001220703125
1,0,34,80.1661605834961
1,0,35,92.7750473022461
1,0,36,137.87246704101562
1,0,37,73.00177001953125
1,0,38,119.42066955566406
1,0,39,94.99702453613281
1,0,40,92.89068603515625
1,0,41,91.15678405761719
1,0,42,132.70823669433594
1,0,43,72.83761596679688
1,0,44,83.0444107055664
1,0,45,126.60904693603516
1,0,46,131.33090209960938
1,0,47,131.0251922607422
1,0,48,133.76510620117188
1,0,49,94.29032135009766
1,0,50,58.40904998779297
1,0,51,80.55534362792969
1,0,52,130.06600952148438
1,0,53,94.85733795166016
1,0,54,132.1948699951172
1,0,55,130.89938354492188
1,0,56,80.9530029296875
1,0,57,124.8226318359375
1,0,58,135.2971649169922
1,0,59,69.98941802978516
1,0,60,132.61874389648438
1,0,61,120.90535736083984
1,0,62,126.90860748291016
1,0,63,119.1245346069336
1,0,64,79.7020034790039
1,0,65,127.3149185180664
1,0,66,128.9066162109375
