dataset_id,session,nll_summed,n_trials
0,0,67.42610931396484,200
0,1,55.63278579711914,200
0,2,99.3184814453125,200
0,3,83.86616516113281,200
0,4,83.1734619140625,200
0,5,124.97403717041016,200
0,6,115.53929138183594,200
0,7,71.75839233398438,200
0,8,125.57814025878906,200
0,9,80.34681701660156,200
0,10,104.16719055175781,200
0,11,63.35899353027344,200
0,12,68.23616027832031,200
0,13,98.84880065917969,200
0,14,125.74138641357422,200
0,15,99.05638122558594,200
0,16,64.65425109863281,200
0,17,131.94688415527344,200
0,18,133.87725830078125,200
0,19,100.39375305175781,200
0,20,129.35528564453125,200
0,21,141.52015686035156,200
0,22,136.56503295898438,200
0,23,86.47605895996094,200
0,24,85.78739929199219,200
0,25,123.67195129394531,200
0,26,94.26227569580078,200
0,27,114.25103759765625,200
0,28,89.29057312011719,200
0,29,120.69210815429688,200
0,30,76.62088775634766,200
0,31,62.07846450805664,200
0,32,116.7024917602539,200
0,33,62.6694450378418,200
0,34,93.82391357421875,200
0,35,123.77314758300781,200
0,36,91.27102661132812,200
0,37,127.53456115722656,200
0,38,129.9698486328125,200
0,39,84.22639465332031,200
0,40,140.68287658691406,200
0,41,62.47559356689453,200
0,42,142.60057067871094,200
0,43,131.2522430419922,200
0,44,73.792724609375,200
0,45,81.12096405029297,200
0,46,90.15229797363281,200
0,47,74.3006591796875,200
0,48,130.11697387695312,200
0,49,92.97453308105469,200
0,50,70.03260040283203,200
0,51,74.38336944580078,200
0,52,82.48685455322266,200
0,53,134.05316162109375,200
0,54,70.04039764404297,200
0,55,89.17281341552734,200
0,56,144.2023468017578,200
0,57,102.197021484375,200
0,58,140.1787109375,200
0,59,137.34921264648438,200
0,60,59.95891189575195,200
0,61,90.31080627441406,200
0,62,87.11091613769531,200
0,63,69.2033920288086,200
0,64,63.17430877685547,200
0,65,139.97802734375,200
0,66,131.0461883544922,200
0,67,135.4715118408203,200
0,68,99.51300811767578,200
0,69,135.86312866210938,200
0,70,137.48875427246094,200
0,71,76.48880004882812,200
0,72,146.26840209960938,200
0,73,77.05995178222656,200
0,74,80.78129577636719,200
0,75,92.10311889648438,200
0,76,137.76426696777344,200
0,77,123.00942993164062,200
0,78,89.54473114013672,200
0,79,67.73334503173828,200
0,80,91.2518081665039,200
0,81,136.8262481689453,200
0,82,87.24461364746094,200
0,83,145.23495483398438,200
0,84,69.66031646728516,200
0,85,83.87405395507812,200
0,86,86.352783203125,200
0,87,75.55354309082031,200
0,88,89.49127197265625,200
0,89,90.26524353027344,200
0,90,131.9693603515625,200
0,91,68.8599853515625,200
0,92,133.15213012695312,200
0,93,90.41024780273438,200
0,94,58.15034103393555,200
0,95,83.50064086914062,200
0,96,92.40495300292969,200
0,97,79.45039367675781,200
0,98,142.01373291015625,200
0,99,138.30218505859375,200
0,100,139.37484741210938,200
0,101,54.81293487548828,200
0,102,95.41288757324219,200
0,103,82.05897521972656,200
0,104,77.19100952148438,200
0,105,75.68489837646484,200
0,106,131.64535522460938,200
0,107,127.57508087158203,200
0,108,138.7469482421875,200
0,109,125.38329315185547,200
0,110,143.18399047851562,200
0,111,142.36947631835938,200
0,112,131.20416259765625,200
0,113,83.98724365234375,200
0,114,133.97537231445312,200
0,115,57.888526916503906,200
0,116,56.924163818359375,200
0,117,71.81140899658203,200
0,118,73.74716186523438,200
0,119,90.80361938476562,200
0,120,85.91854095458984,200
0,121,71.679931640625,200
0,122,118.9684066772461,200
0,123,98.19354248046875,200
0,124,78.00574493408203,200
0,125,128.75633239746094,200
0,126,83.36906433105469,200
0,127,73.16905212402344,200
0,128,134.90591430664062,200
0,129,122.5578842163086,200
0,130,85.57344055175781,200
0,131,108.18065643310547,200
0,132,139.5003662109375,200
0,133,124.00111389160156,200
0,134,80.45050811767578,200
0,135,131.51536560058594,200
0,136,94.18383026123047,200
0,137,61.29567337036133,200
0,138,75.26185607910156,200
0,139,78.5499496459961,200
0,140,73.06742858886719,200
0,141,142.96482849121094,200
0,142,96.32526397705078,200
0,143,94.22943878173828,200
0,144,76.92845916748047,200
0,145,134.24435424804688,200
0,146,73.25442504882812,200
0,147,63.21908187866211,200
0,148,153.88201904296875,200
0,149,73.51930236816406,200
0,150,45.09226989746094,200
0,151,99.70332336425781,200
0,152,140.87057495117188,200
0,153,134.655029296875,200
0,154,98.39751434326172,200
0,155,86.23912048339844,200
0,156,101.84620666503906,200
0,157,118.3956527709961,200
0,158,114.91577911376953,200
0,159,131.623291015625,200
0,160,73.01095581054688,200
0,161,85.66316223144531,200
0,162,78.21319580078125,200
0,163,65.85740661621094,200
0,164,108.37184143066406,200
0,165,129.099365234375,200
0,166,109.51299285888672,200
0,167,95.52149963378906,200
0,168,106.82461547851562,200
0,169,130.65509033203125,200
0,170,132.71884155273438,200
0,171,116.36871337890625,200
0,172,63.6679573059082,200
0,173,136.46148681640625,200
0,174,76.02061462402344,200
0,175,140.38839721679688,200
0,176,126.1054916381836,200
0,177,71.536865234375,200
0,178,136.7379150390625,200
0,179,110.94174194335938,200
0,180,75.23654174804688,200
0,181,142.51168823242188,200
0,182,136.63412475585938,200
0,183,81.5521240234375,200
0,184,134.77589416503906,200
0,185,79.64066314697266,200
0,186,94.70013427734375,200
0,187,133.5997772216797,200
0,188,72.52305603027344,200
0,189,135.33090209960938,200
0,190,77.74339294433594,200
0,191,89.25100708007812,200
0,192,99.53134155273438,200
0,193,88.72006225585938,200
0,194,130.7471466064453,200
0,195,67.90284729003906,200
0,196,96.5925521850586,200
0,197,80.03185272216797,200
0,198,95.47491455078125,200
0,199,73.24949645996094,200
1,0,129.79342651367188,200
1,1,88.75153350830078,200
1,2,96.50830078125,200
1,3,91.13340759277344,200
1,4,136.47943115234375,200
1,5,83.78245544433594,200
1,6,130.82107543945312,200
1,7,129.5447540283203,200
1,8,76.14146423339844,200
1,9,87.20149230957031,200
1,10,134.35104370117188,200
1,11,80.73883056640625,200
1,12,86.44927978515625,200
1,13,96.50352478027344,200
1,14,129.97393798828125,200
1,15,69.62686157226562,200
1,16,134.30642700195312,200
1,17,90.83673095703125,200
1,18,133.9649200439453,200
1,19,95.82720184326172,200
1,20,82.14835357666016,200
1,21,68.73092651367188,200
1,22,124.79707336425781,200
1,23,72.33430480957031,200
1,24,84.66312408447266,200
1,25,132.56948852539062,200
1,26,93.31358337402344,200
1,27,81.11114501953125,200
1,28,135.241943359375,200
1,29,135.65966796875,200
1,30,76.22283935546875,200
1,31,112.77361297607422,200
1,32,136.3620147705078,200
1,33,137.48760986328125,200
1,34,105.37289428710938,200
1,35,65.02107238769531,200
1,36,85.1365966796875,200
1,37,136.32293701171875,200
1,38,81.755615234375,200
1,39,124.22377014160156,200
1,40,132.32598876953125,200
1,41,135.53260803222656,200
1,42,144.36029052734375,200
1,43,99.73112487792969,200
1,44,72.26519775390625,200
1,45,82.32811737060547,200
1,46,125.86563110351562,200
1,47,84.75495910644531,200
1,48,91.29487609863281,200
1,49,99.71434020996094,200
1,50,136.370361328125,200
1,51,80.41548156738281,200
1,52,90.19587707519531,200
1,53,86.98334503173828,200
1,54,57.234832763671875,200
1,55,134.63320922851562,200
1,56,122.25064849853516,200
1,57,136.86856079101562,200
1,58,139.10110473632812,200
1,59,132.97299194335938,200
1,60,114.80067443847656,200
1,61,126.27569580078125,200
1,62,81.62960815429688,200
1,63,128.09669494628906,200
1,64,135.97488403320312,200
1,65,135.4801483154297,200
1,66,126.759521484375,200
1,67,75.82820129394531,200
1,68,140.5048828125,200
1,69,82.99961853027344,200
1,70,85.76353454589844,200
1,71,88.75778198242188,200
1,72,113.8206787109375,200
1,73,124.55767059326172,200
1,74,125.01500701904297,200
1,75,77.0804443359375,200
1,76,68.6543960571289,200
1,77,154.45826721191406,200
1,78,127.14877319335938,200
1,79,133.92642211914062,200
1,80,96.6156005859375,200
1,81,124.10792541503906,200
1,82,135.26910400390625,200
1,83,81.75578308105469,200
1,84,130.67996215820312,200
1,85,90.27462768554688,200
1,86,95.1739501953125,200
1,87,82.9801254272461,200
1,88,101.38533020019531,200
1,89,69.74024200439453,200
1,90,104.97555541992188,200
1,91,91.72525024414062,200
1,92,132.04931640625,200
1,93,79.23526763916016,200
1,94,124.84228515625,200
1,95,70.19090270996094,200
1,96,84.38177490234375,200
1,97,79.90383911132812,200
1,98,94.64268493652344,200
1,99,101.54161834716797,200
1,100,113.86725616455078,200
1,101,92.82909393310547,200
1,102,121.98696899414062,200
1,103,135.7979736328125,200
1,104,138.5428924560547,200
1,105,73.3642807006836,200
1,106,131.09286499023438,200
1,107,133.95135498046875,200
1,108,105.41477966308594,200
1,109,123.3606948852539,200
1,110,110.86612701416016,200
1,111,77.51220703125,200
1,112,130.04791259765625,200
1,113,90.84030151367188,200
1,114,76.49625396728516,200
1,115,119.33802795410156,200
1,116,125.13070678710938,200
1,117,91.49224853515625,200
1,118,84.39370727539062,200
1,119,95.369384765625,200
1,120,86.70274353027344,200
1,121,66.78631591796875,200
1,122,89.39122009277344,200
1,123,105.38916778564453,200
1,124,129.71304321289062,200
1,125,70.39774322509766,200
1,126,87.0159912109375,200
1,127,127.06956481933594,200
1,128,125.59310150146484,200
1,129,47.374488830566406,200
1,130,135.57437133789062,200
1,131,114.26201629638672,200
1,132,127.33891296386719,200
1,133,83.76319885253906,200
1,134,84.25839233398438,200
1,135,131.5781707763672,200
1,136,103.79573059082031,200
1,137,134.61264038085938,200
1,138,88.48016357421875,200
1,139,95.83934020996094,200
1,140,97.98374938964844,200
1,141,94.51875305175781,200
1,142,76.58894348144531,200
1,143,56.690452575683594,200
1,144,90.783203125,200
1,145,133.4064178466797,200
1,146,127.02120971679688,200
1,147,84.76612854003906,200
1,148,79.76441192626953,200
1,149,71.65805053710938,200
1,150,130.95770263671875,200
1,151,125.75564575195312,200
1,152,98.21192169189453,200
1,153,135.1884765625,200
1,154,128.55667114257812,200
1,155,98.40725708007812,200
1,156,93.00604248046875,200
1,157,91.94148254394531,200
1,158,131.22430419921875,200
1,159,131.3837127685547,200
1,160,83.6268539428711,200
1,161,134.54624938964844,200
1,162,139.80555725097656,200
1,163,79.54975891113281,200
1,164,127.09197998046875,200
1,165,83.79413604736328,200
1,166,118.0628433227539,200
1,167,117.548095703125,200
1,168,143.93792724609375,200
1,169,128.303466796875,200
1,170,135.3522186279297,200
1,171,124.30591583251953,200
1,172,71.86721801757812,200
1,173,131.22828674316406,200
1,174,120.86042022705078,200
1,175,133.93734741210938,200
1,176,119.61932373046875,200
1,177,126.79080200195312,200
1,178,100.65984344482422,200
1,179,98.54914855957031,200
1,180,125.43431091308594,200
1,181,141.921630859375,200
1,182,123.19723510742188,200
1,183,89.53079223632812,200
1,184,84.94393920898438,200
1,185,79.97796630859375,200
1,186,80.9202880859375,200
1,187,89.70928955078125,200
1,188,78.54023742675781,200
1,189,81.07196044921875,200
1,190,108.10710906982422,200
1,191,68.98472595214844,200
1,192,92.5594482421875,200
1,193,80.25802612304688,200
1,194,64.1028823852539,200
1,195,125.90432739257812,200
1,196,106.24003601074219,200
1,197,130.45010375976562,200
1,198,62.473419189453125,200
1,199,93.40846252441406,200
2,0,98.70814514160156,200
2,1,87.74136352539062,200
2,2,80.72552490234375,200
2,3,64.79618835449219,200
2,4,116.09007263183594,200
2,5,138.62489318847656,200
2,6,101.94734191894531,200
2,7,65.0064468383789,200
2,8,120.20722961425781,200
2,9,100.82271575927734,200
2,10,132.81398010253906,200
2,11,132.65988159179688,200
2,12,123.36611938476562,200
2,13,82.43499755859375,200
