split,comparison,n_pairs,median_diff,mean_diff,cohens_dz,wilcoxon_W,wilcoxon_p,perm_p_signflip,perm_p_cluster,n_diff_positive,n_diff_negative
train_data,vanilla_h − IDRNN_mu,50,0.1700000000000001,0.18720000000000003,1.6685779059620118,0.0,1.7763568394002505e-15,9.999000099990002e-05,0.001999800019998,50,0
train_data,common_process_h − IDRNN_mu,50,0.1925,0.20770000000000002,1.7780662569727093,0.0,1.7763568394002505e-15,9.999000099990002e-05,0.001999800019998,50,0
train_data,informed_decoder_h − IDRNN_mu,50,0.10499999999999998,0.12010000000000001,1.0462065027608924,51.5,7.151434999741468e-11,9.999000099990002e-05,0.001999800019998,43,7
train_data,common_process_h − informed_decoder_h,50,0.08500000000000002,0.08760000000000001,1.81684303224977,3.0,8.881784197001252e-15,9.999000099990002e-05,0.001999800019998,49,1
train_data,vanilla_h − informed_decoder_h,50,0.06250000000000006,0.06710000000000002,1.8044775689990888,2.0,5.329070518200751e-15,9.999000099990002e-05,0.001999800019998,49,1
test_data,vanilla_h − IDRNN_mu,50,0.1800000000000001,0.17379999999999998,1.9066998229639205,0.0,1.7763568394002505e-15,9.999000099990002e-05,0.001999800019998,50,0
test_data,common_process_h − IDRNN_mu,50,0.19249999999999995,0.19699999999999995,1.9710058719062369,0.0,1.1095728138421754e-09,9.999000099990002e-05,0.001999800019998,49,0
test_data,informed_decoder_h − IDRNN_mu,50,0.11000000000000004,0.12460000000000003,1.2576787695609333,24.0,1.3535839116229909e-12,9.999000099990002e-05,0.001999800019998,44,6
test_data,common_process_h − informed_decoder_h,50,0.07250000000000001,0.07239999999999999,1.4568753220152835,17.0,3.6770586575585185e-13,9.999000099990002e-05,0.001999800019998,48,2
test_data,vanilla_h − informed_decoder_h,50,0.04499999999999993,0.049199999999999994,1.1466121651694199,55.5,2.998329819087788e-08,9.999000099990002e-05,0.001999800019998,44,5
