dataset_id,seed,split,model,feature,n_features,latent_dim,acc_mean,acc_std
0,142,test_data,common_process_h_PCA3,mean,3,10,0.7849999999999999,0.03741657386773941
0,142,test_data,informed_decoder_h_PCA3,mean,3,10,0.74,0.06041522986797287
1,12,train_data,IDRNN_mu,mean,3,3,0.69,0.06633249580710801
1,12,train_data,vanilla_h,mean,10,10,0.875,0.04183300132670378
1,12,train_data,common_process_h,mean,10,10,0.915,0.048989794855663564
1,12,train_data,informed_decoder_h,mean,10,10,0.825,0.04472135954999579
1,12,train_data,vanilla_h_PCA3,mean,3,10,0.8150000000000001,0.051478150704935
1,12,train_data,common_process_h_PCA3,mean,3,10,0.795,0.062048368229954284
1,12,train_data,informed_decoder_h_PCA3,mean,3,10,0.7699999999999999,0.06000000000000001
1,12,test_data,IDRNN_mu,mean,3,3,0.695,0.04301162633521313
1,12,test_data,vanilla_h,mean,10,10,0.9,0.05244044240850758
1,12,test_data,common_process_h,mean,10,10,0.945,0.018708286933869677
1,12,test_data,informed_decoder_h,mean,10,10,0.8550000000000001,0.04000000000000001
1,12,test_data,vanilla_h_PCA3,mean,3,10,0.8600000000000001,0.05385164807134505
1,12,test_data,common_process_h_PCA3,mean,3,10,0.8549999999999999,0.04
1,12,test_data,informed_decoder_h_PCA3,mean,3,10,0.76,0.06244997998398396
1,50,train_data,IDRNN_mu,mean,3,3,0.65,0.04183300132670376
1,50,train_data,vanilla_h,mean,10,10,0.8200000000000001,0.09273618495495702
1,50,train_data,common_process_h,mean,10,10,0.8799999999999999,0.06782329983125268
1,50,train_data,informed_decoder_h,mean,10,10,0.74,0.0681909084849293
1,50,train_data,vanilla_h_PCA3,mean,3,10,0.78,0.07483314773547882
1,50,train_data,common_process_h_PCA3,mean,3,10,0.8400000000000001,0.05612486080160911
1,50,train_data,informed_decoder_h_PCA3,mean,3,10,0.705,0.05787918451395114
1,50,test_data,IDRNN_mu,mean,3,3,0.6799999999999999,0.0940744386111339
1,50,test_data,vanilla_h,mean,10,10,0.86,0.025495097567963948
1,50,test_data,common_process_h,mean,10,10,0.8949999999999999,0.036742346141747706
1,50,test_data,informed_decoder_h,mean,10,10,0.74,0.05385164807134503
1,50,test_data,vanilla_h_PCA3,mean,3,10,0.835,0.025495097567963917
1,50,test_data,common_process_h_PCA3,mean,3,10,0.8699999999999999,0.036742346141747706
1,50,test_data,informed_decoder_h_PCA3,mean,3,10,0.71,0.06633249580710801
1,76,train_data,IDRNN_mu,mean,3,3,0.65,0.0632455532033676
1,76,train_data,vanilla_h,mean,10,10,0.865,0.048989794855663536
1,76,train_data,common_process_h,mean,10,10,0.89,0.04358898943540673
1,76,train_data,informed_decoder_h,mean,10,10,0.8049999999999999,0.07141428428542851
1,76,train_data,vanilla_h_PCA3,mean,3,10,0.7550000000000001,0.07648529270389176
1,76,train_data,common_process_h_PCA3,mean,3,10,0.835,0.043588989435406726
1,76,train_data,informed_decoder_h_PCA3,mean,3,10,0.73,0.05787918451395111
1,76,test_data,IDRNN_mu,mean,3,3,0.65,0.05700877125495691
1,76,test_data,vanilla_h,mean,10,10,0.915,0.04898979485566358
1,76,test_data,common_process_h,mean,10,10,0.9049999999999999,0.0458257569495584
1,76,test_data,informed_decoder_h,mean,10,10,0.835,0.043588989435406726
1,76,test_data,vanilla_h_PCA3,mean,3,10,0.7950000000000002,0.03316624790355399
1,76,test_data,common_process_h_PCA3,mean,3,10,0.865,0.04358898943540673
1,76,test_data,informed_decoder_h_PCA3,mean,3,10,0.805,0.05567764362830022
1,100,train_data,IDRNN_mu,mean,3,3,0.705,0.029154759474226483
1,100,train_data,vanilla_h,mean,10,10,0.865,0.012247448713915901
1,100,train_data,common_process_h,mean,10,10,0.8800000000000001,0.06964194138592057
1,100,train_data,informed_decoder_h,mean,10,10,0.8400000000000001,0.048989794855663564
1,100,train_data,vanilla_h_PCA3,mean,3,10,0.8550000000000001,0.029154759474226483
1,100,train_data,common_process_h_PCA3,mean,3,10,0.825,0.04183300132670378
1,100,train_data,informed_decoder_h_PCA3,mean,3,10,0.8299999999999998,0.05099019513592784
1,100,test_data,IDRNN_mu,mean,3,3,0.71,0.05830951894845301
1,100,test_data,vanilla_h,mean,10,10,0.905,0.018708286933869722
1,100,test_data,common_process_h,mean,10,10,0.905,0.018708286933869722
1,100,test_data,informed_decoder_h,mean,10,10,0.8699999999999999,0.018708286933869722
1,100,test_data,vanilla_h_PCA3,mean,3,10,0.89,0.037416573867739444
1,100,test_data,common_process_h_PCA3,mean,3,10,0.8799999999999999,0.040000000000000036
1,100,test_data,informed_decoder_h_PCA3,mean,3,10,0.845,0.029154759474226494
1,142,train_data,IDRNN_mu,mean,3,3,0.7550000000000001,0.06964194138592059
1,142,train_data,vanilla_h,mean,10,10,0.905,0.033166247903554
1,142,train_data,common_process_h,mean,10,10,0.925,0.04183300132670376
1,142,train_data,informed_decoder_h,mean,10,10,0.8549999999999999,0.05567764362830018
1,142,train_data,vanilla_h_PCA3,mean,3,10,0.8,0.04743416490252569
1,142,train_data,common_process_h_PCA3,mean,3,10,0.8200000000000001,0.04847679857416328
1,142,train_data,informed_decoder_h_PCA3,mean,3,10,0.8550000000000001,0.045825756949558386
1,142,test_data,IDRNN_mu,mean,3,3,0.7150000000000001,0.02549509756796391
1,142,test_data,vanilla_h,mean,10,10,0.915,0.0374165738677394
1,142,test_data,common_process_h,mean,10,10,0.9199999999999999,0.03674234614174765
1,142,test_data,informed_decoder_h,mean,10,10,0.905,0.04301162633521314
1,142,test_data,vanilla_h_PCA3,mean,3,10,0.835,0.051478150704935006
1,142,test_data,common_process_h_PCA3,mean,3,10,0.8699999999999999,0.04301162633521313
1,142,test_data,informed_decoder_h_PCA3,mean,3,10,0.8600000000000001,0.06041522986797287
2,12,train_data,IDRNN_mu,mean,3,3,0.795,0.07968688725254612
2,12,train_data,vanilla_h,mean,10,10,0.85,0.05000000000000002
2,12,train_data,common_process_h,mean,10,10,0.8400000000000001,0.04062019202317979
2,12,train_data,informed_decoder_h,mean,10,10,0.775,0.04183300132670378
2,12,train_data,vanilla_h_PCA3,mean,3,10,0.755,0.033166247903554026
2,12,train_data,common_process_h_PCA3,mean,3,10,0.775,0.031622776601683784
2,12,train_data,informed_decoder_h_PCA3,mean,3,10,0.725,0.08803408430829505
2,12,test_data,IDRNN_mu,mean,3,3,0.805,0.06595452979136461
2,12,test_data,vanilla_h,mean,10,10,0.8949999999999999,0.07648529270389179
2,12,test_data,common_process_h,mean,10,10,0.8949999999999999,0.0678232998312527
2,12,test_data,informed_decoder_h,mean,10,10,0.8049999999999999,0.033166247903553984
2,12,test_data,vanilla_h_PCA3,mean,3,10,0.825,0.0724568837309472
2,12,test_data,common_process_h_PCA3,mean,3,10,0.845,0.06964194138592061
2,12,test_data,informed_decoder_h_PCA3,mean,3,10,0.8350000000000002,0.03391164991562635
2,50,train_data,IDRNN_mu,mean,3,3,0.3350000000000001,0.04062019202317979
2,50,train_data,vanilla_h,mean,10,10,0.79,0.025495097567963917
2,50,train_data,common_process_h,mean,10,10,0.905,0.029154759474226494
2,50,train_data,informed_decoder_h,mean,10,10,0.74,0.07176350047203661
2,50,train_data,vanilla_h_PCA3,mean,3,10,0.74,0.030000000000000023
2,50,train_data,common_process_h_PCA3,mean,3,10,0.775,0.04472135954999579
2,50,train_data,informed_decoder_h_PCA3,mean,3,10,0.685,0.06819090848492926
2,50,test_data,IDRNN_mu,mean,3,3,0.43999999999999995,0.04898979485566357
2,50,test_data,vanilla_h,mean,10,10,0.8300000000000001,0.07314369419163898
2,50,test_data,common_process_h,mean,10,10,0.885,0.07176350047203663
2,50,test_data,informed_decoder_h,mean,10,10,0.8099999999999999,0.04062019202317979
2,50,test_data,vanilla_h_PCA3,mean,3,10,0.79,0.06244997998398399
2,50,test_data,common_process_h_PCA3,mean,3,10,0.835,0.040620192023179805
2,50,test_data,informed_decoder_h_PCA3,mean,3,10,0.78,0.04301162633521314
2,76,train_data,IDRNN_mu,mean,3,3,0.74,0.020000000000000018
2,76,train_data,vanilla_h,mean,10,10,0.8550000000000001,0.03316624790355399
2,76,train_data,common_process_h,mean,10,10,0.8149999999999998,0.03391164991562633
2,76,train_data,informed_decoder_h,mean,10,10,0.755,0.07483314773547882
2,76,train_data,vanilla_h_PCA3,mean,3,10,0.7050000000000001,0.05338539126015655
2,76,train_data,common_process_h_PCA3,mean,3,10,0.745,0.02915475947422653
2,76,train_data,informed_decoder_h_PCA3,mean,3,10,0.68,0.06964194138592057
2,76,test_data,IDRNN_mu,mean,3,3,0.8400000000000001,0.05612486080160912
2,76,test_data,vanilla_h,mean,10,10,0.8799999999999999,0.033166247903554026
2,76,test_data,common_process_h,mean,10,10,0.8400000000000001,0.0845576726264388
2,76,test_data,informed_decoder_h,mean,10,10,0.8149999999999998,0.051478150704935006
2,76,test_data,vanilla_h_PCA3,mean,3,10,0.775,0.031622776601683784
2,76,test_data,common_process_h_PCA3,mean,3,10,0.825,0.06892024376045112
2,76,test_data,informed_decoder_h_PCA3,mean,3,10,0.82,0.03674234614174765
2,100,train_data,IDRNN_mu,mean,3,3,0.41500000000000004,0.07348469228349536
2,100,train_data,vanilla_h,mean,10,10,0.85,0.022360679774997918
2,100,train_data,common_process_h,mean,10,10,0.9099999999999999,0.03741657386773941
2,100,train_data,informed_decoder_h,mean,10,10,0.765,0.07176350047203663
2,100,train_data,vanilla_h_PCA3,mean,3,10,0.8,0.04472135954999579
2,100,train_data,common_process_h_PCA3,mean,3,10,0.76,0.03741657386773945
2,100,train_data,informed_decoder_h_PCA3,mean,3,10,0.74,0.058309518948453015
2,100,test_data,IDRNN_mu,mean,3,3,0.43,0.06782329983125268
2,100,test_data,vanilla_h,mean,10,10,0.86,0.07516648189186452
2,100,test_data,common_process_h,mean,10,10,0.8949999999999999,0.07314369419163895
2,100,test_data,informed_decoder_h,mean,10,10,0.8550000000000001,0.048476798574163295
2,100,test_data,vanilla_h_PCA3,mean,3,10,0.8400000000000001,0.09433981132056604
2,100,test_data,common_process_h_PCA3,mean,3,10,0.775,0.0724568837309472
2,100,test_data,informed_decoder_h_PCA3,mean,3,10,0.845,0.04301162633521314
2,142,train_data,IDRNN_mu,mean,3,3,0.685,0.07516648189186456
2,142,train_data,vanilla_h,mean,10,10,0.9,0.022360679774997918
2,142,train_data,common_process_h,mean,10,10,0.89,0.020000000000000018
2,142,train_data,informed_decoder_h,mean,10,10,0.8099999999999999,0.07681145747868606
2,142,train_data,vanilla_h_PCA3,mean,3,10,0.72,0.02915475947422653
2,142,train_data,common_process_h_PCA3,mean,3,10,0.72,0.04301162633521314
2,142,train_data,informed_decoder_h_PCA3,mean,3,10,0.71,0.08154753215150044
2,142,test_data,IDRNN_mu,mean,3,3,0.7,0.10368220676663861
2,142,test_data,vanilla_h,mean,10,10,0.8699999999999999,0.07648529270389175
2,142,test_data,common_process_h,mean,10,10,0.9,0.06123724356957945
2,142,test_data,informed_decoder_h,mean,10,10,0.8699999999999999,0.0484767985741633
2,142,test_data,vanilla_h_PCA3,mean,3,10,0.82,0.0640312423743285
2,142,test_data,common_process_h_PCA3,mean,3,10,0.8150000000000001,0.07176350047203663
2,142,test_data,informed_decoder_h_PCA3,mean,3,10,0.835,0.020000000000000018
3,12,train_data,IDRNN_mu,mean,3,3,0.7350000000000001,0.040620192023179805
3,12,train_data,vanilla_h,mean,10,10,0.8699999999999999,0.08124038404635961
3,12,train_data,common_process_h,mean,10,10,0.875,0.07071067811865475
3,12,train_data,informed_decoder_h,mean,10,10,0.8100000000000002,0.0845576726264388
3,12,train_data,vanilla_h_PCA3,mean,3,10,0.8200000000000001,0.0640312423743285
3,12,train_data,common_process_h_PCA3,mean,3,10,0.8099999999999999,0.04062019202317979
3,12,train_data,informed_decoder_h_PCA3,mean,3,10,0.72,0.029154759474226494
3,12,test_data,IDRNN_mu,mean,3,3,0.7050000000000001,0.04301162633521313
3,12,test_data,vanilla_h,mean,10,10,0.905,0.010000000000000009
3,12,test_data,common_process_h,mean,10,10,0.8949999999999999,0.024494897427831803
3,12,test_data,informed_decoder_h,mean,10,10,0.825,0.07905694150420947
3,12,test_data,vanilla_h_PCA3,mean,3,10,0.8150000000000001,0.05612486080160911
3,12,test_data,common_process_h_PCA3,mean,3,10,0.8649999999999999,0.025495097567963945
3,12,test_data,informed_decoder_h_PCA3,mean,3,10,0.78,0.06964194138592057
3,50,train_data,IDRNN_mu,mean,3,3,0.615,0.060415229867972854
3,50,train_data,vanilla_h,mean,10,10,0.7949999999999999,0.05338539126015656
3,50,train_data,common_process_h,mean,10,10,0.85,0.05700877125495688
3,50,train_data,informed_decoder_h,mean,10,10,0.735,0.06041522986797284
