lambda,z_dim,mean_best_rsa,std_best_rsa,mean_final_rsa,min_best_rsa,max_best_rsa,n_seeds
0.1,3,0.6477817337602165,0.017454948268095127,0.5920720070226291,0.6303267854921214,0.6652366820283117,2
0.1,2,0.6022098976412043,0.006582683803268485,0.5986246156975304,0.5956272138379358,0.6087925814444728,2
0.2,3,0.5982932172388349,0.032766377207917696,0.5637650650366677,0.5655268400309172,0.6310595944467526,2
0.2,2,0.5939890198931912,0.006175366880960265,0.5877110138745558,0.5878136530122309,0.6001643867741514,2
0.3,2,0.590236614526944,0.006276554494991704,0.5830413006667752,0.5839600600319523,0.5965131690219357,2
0.45,2,0.5868199032509878,0.007151210207157532,0.5806474542877095,0.5796686930438302,0.5939711134581452,2
0.4,2,0.5858043557225052,0.005140672702712734,0.5799809609624826,0.5806636830197924,0.5909450284252179,2
0.5,2,0.5832244865675908,0.0020220131167182354,0.5770223691408367,0.5812024734508726,0.5852464996843091,2
0.7,2,0.5813362392556906,0.003230570176054326,0.5755023879746046,0.5781056690796362,0.5845668094317449,2
0.8,2,0.5794634910752805,0.002448600069849316,0.5740676123401351,0.5770148910054311,0.5819120911451298,2
0.9,2,0.5791909923736018,0.0036690318688948342,0.5737334160271956,0.575521960504707,0.5828600242424967,2
0.95,2,0.5784991797372305,0.0032605981935760475,0.5729223574631186,0.5752385815436545,0.5817597779308066,2
0.1,1,0.547482880895523,0.003627082710501439,0.5231170214584604,0.5438557981850216,0.5511099636060245,2
0.5,1,0.540970804291011,0.004891698610327788,0.5065045398885842,0.5360791056806832,0.5458625029013388,2
0.45,1,0.5403855929239512,0.004969602698986553,0.505303716427483,0.5354159902249646,0.5453551956229377,2
0.7,1,0.5393306709609395,0.002608438150039638,0.5000926884862432,0.5367222328108998,0.5419391091109791,2
0.2,1,0.5389499853267179,0.003219742974392148,0.5062764865183806,0.5357302423523258,0.5421697283011101,2
0.3,1,0.5389490878227319,0.002624475008293936,0.5055726224942594,0.536324612814438,0.5415735628310259,2
0.3,3,0.5387161958432012,0.022255088813722235,0.5279915983172965,0.516461107029479,0.5609712846569235,2
0.4,1,0.5361976125008476,0.0003309666823398394,0.5008887853411859,0.5358666458185077,0.5365285791831874,2
0.95,1,0.53597612939372,0.004124489864442971,0.4988163783004025,0.531851639529277,0.540100619258163,2
0.8,1,0.5348534749551486,0.0010423299702672084,0.499920420979996,0.5338111449848814,0.5358958049254158,2
0.9,1,0.5334903304802305,0.0010366454124119406,0.4932298838345087,0.5324536850678186,0.5345269758926425,2
0.4,3,0.487574874223017,0.022455369485567644,0.4798613544674047,0.46511950473744934,0.5100302437085846,2
0.45,3,0.45608829011990515,0.009451285052317043,0.444415101181052,0.4466370050675881,0.46553957517222216,2
0.5,3,0.39642383258216435,0.10433518899982214,0.3932784712026614,0.2920886435823422,0.5007590215819865,2
0.95,3,0.35619292509499695,0.09210507125086387,0.3307521306822573,0.2640878538441331,0.4482979963458608,2
0.9,3,0.3445813911197336,0.11828722799183472,0.3445813911197336,0.2262941631278989,0.46286861911156835,2
0.8,3,0.3268311084826751,0.09378217966039622,0.31121729534818676,0.23304892882227887,0.4206132881430713,2
0.7,3,0.3263926965244907,0.08945259715577726,0.31683302769973287,0.23694009936871344,0.41584529368026796,2
