seed,PANAS_PA,PANAS_NA,STICSA,PHQ,CEI,BIG5_open,AxDep,posMood,negMood,Exp,WM_composite,WM_OS,WM_SS,WM_WMU
200,0.007778455592277002,0.07946942451241493,0.10266576142769533,0.02218975146482208,0.08743749104339918,0.06609988397274584,0.017343318448279386,-0.057045281207591815,0.06411918101857156,-0.00798732178936143,-0.23182427264308877,-0.1101291259877195,-0.22281098518330286,-0.19640821632697383
300,0.19397230182060043,0.20626039757123968,-0.13439952720864184,-0.142817770588611,0.1562016352464364,0.21692185675283113,-0.05346384073974025,0.05412299834266035,0.05871487935054574,0.03286210415523886,-0.39263771981375856,-0.07180012779809973,-0.38022594359201217,-0.42210092914177544
400,-0.0022045831201235274,0.05463908148694819,0.0622171906208954,-0.006407068969851937,0.09470901179019187,0.009315411725480768,-0.023403622363302443,-0.0424969208108394,0.006776416229316525,0.005576181523817984,-0.18573750006962728,-0.07453908446256666,-0.1891366880598014,-0.15792393704811838
500,-0.006666527528830652,0.04551713965223996,0.08221255237753393,0.014495370121389557,0.13600612519275035,0.032620463295145924,-0.007193129827693136,-0.037813082691549565,-0.002542854320254847,0.03846619381216713,-0.2123197171975014,-0.08622871445340015,-0.22282149820534772,-0.1731927105827997
600,0.10601654576695484,0.17406760240511074,0.016927967097122392,-0.06128324981922295,0.16151738212807007,0.13036949542309317,-0.048051358962447555,-0.03858536684121614,0.032343006731907674,-0.03760411681088789,-0.27516388099062034,-0.07747854595542424,-0.284930151514534,-0.2557992419074266
999,0.183194708632315,0.2046750135418046,-0.09977608804982113,-0.11976931725827271,0.1454019396042533,0.10089987421548029,-0.09537404350675605,0.005207002463304031,0.029589157408679494,-0.036659905563894195,-0.252082587209087,-0.07899586335843094,-0.24716939136448765,-0.24153629621557499
2021,0.16905881901339995,0.177708838296512,-0.06981329548774366,-0.10457184647294222,0.14872241656977445,0.21815547151479892,-0.028869940406196865,0.08122006346563068,0.04028263372615554,0.09066665628047482,-0.3418170142666988,-0.07147733328058746,-0.32224058184624094,-0.3688849900851074
2022,0.16625272962796095,0.22692401921074304,-0.05396935269664758,-0.10946385395497028,0.16502530512531902,0.15421313272572224,-0.07202999329962761,0.033916104642809385,0.06258530513269167,0.054634012153655764,-0.3325448276748926,-0.09523998239372204,-0.31952738996599295,-0.33227827699614015
2023,0.09861501665754338,0.15147347640836417,-0.003971098634475748,-0.06067236158223601,0.14090909401538476,0.10511015046232362,-0.04349639253035956,-0.01502788393951653,0.01182246418810099,0.0249717973882291,-0.3179594593212748,-0.11182129185287047,-0.2754073448410772,-0.33063964569851895
2024,0.17236834903060352,0.2062890232878036,-0.02967635649286298,-0.06799230427656107,0.05818252557980202,0.21906652471241542,-0.026276848820569146,0.03921761127350347,0.10464474953614052,-0.031284269138482194,-0.3329683746777546,-0.09327913715486114,-0.30386079427479784,-0.35019442618432656
