target,n,idrnn_r2,vanilla_r2,idrnn_sd,vanilla_sd,idrnn_bf,vanilla_bf,idrnn_perm_p,vanilla_perm_p
PANAS_PA,236,0.007658981880367066,-0.012948335578859105,0.014882813896089026,0.012182305027493692,0.4130791278682989,0.01118165347725153,0.0746925307469253,1.0
PANAS_NA,236,0.02004548850807275,-0.010996936053750295,0.015585951331629353,0.012105658682589197,1.6850030798998117,0.011133499443531036,0.014598540145985401,1.0
STICSA,236,0.00028235351391137087,-0.011508007514424046,0.013727287602960114,0.01107881041373071,0.1372985000597472,0.011522208340466022,0.277972202779722,1.0
PHQ,236,-0.011331760127604396,-0.011902314477658216,0.012977910868318846,0.01078415576903027,0.032951325027247624,0.010226786136627197,0.938906109389061,1.0
CEI,236,0.005121292527937249,-0.009106301357718838,0.012949098119399136,0.011950581264590327,0.29018456933563375,0.04583876658705027,0.11278872112788721,0.80991900809919
BIG5_open,236,0.03350268174877302,0.0016204590799592244,0.014931940394042649,0.013554063413936869,8.541043061370857,0.155430783371245,0.0028997100289971,0.23937606239376064
AxDep,175,-0.014408226608131569,-0.015651565404312784,0.015199119040030675,0.014150308077955054,1100.0,23364622090240.0,1.0,1.0
posMood,175,-0.01355009560266529,-0.016597709245221193,0.016511334072538797,0.014774905759832134,0.013780631823465228,0.011812210083007812,1.0,1.0
negMood,175,-0.014987057664845205,-0.022202917824123425,0.014781028999201145,0.016786950452085718,0.01456451416015625,0.01822902174887986,1.0,0.9999000099990001
Exp,175,-0.01821119130858584,-0.014529119983301975,0.017484389215752343,0.01540363011858232,0.023115700746810575,0.01698791552507828,0.9993000699930007,1.0
WM_composite,175,0.11882194829282167,0.026159338660379672,0.019689301269655755,0.018178036366108707,9448.156553152709,2.017224597163618,9.999000099990002e-05,0.0164983501649835
WM_OS,175,-0.012356487689332951,-0.02191921755877968,0.016594328530081002,0.015924152259018234,0.017701463669027362,0.017038618267179118,1.0,0.9999000099990001
WM_SS,175,0.11650596883321496,0.02380804283612059,0.018411559519759983,0.017293324318797827,7569.683464774258,1.557710714774089,9.999000099990002e-05,0.018698130186981302
WM_WMU,175,0.11742831296575929,0.031087742309202526,0.02274913983728765,0.02036567236846763,8275.94454451004,3.4751996221989683,9.999000099990002e-05,0.008099190080991902
