target,arch,n,canonical_r2,pearson_r,bf10_greater,perm_p,bf10_twosided,bf10_ereduction
PANAS_PA,idrnn,238,0.007823405245256205,0.09442097915173618,0.4285872498546277,0.0755924407559244,0.23143480917337847,0.081
PANAS_PA,vanilla,238,0.02448017840533363,0.158397146404974,3.1509796198582034,0.006199380061993801,1.5872754161951543,0.111
PANAS_NA,idrnn,238,0.020090496908337252,0.1417929387329931,1.7221868798539943,0.0156984301569843,0.8739467720995006,0.128
PANAS_NA,vanilla,238,0.026312935331076533,0.16357737258128,3.8558662939376953,0.005599440055994401,1.9394185235395376,0.114
STICSA,idrnn,238,-0.003024722722235401,0.010139850110893203,0.09225238675663727,0.44985501449855014,0.08213735948876866,0.078
STICSA,vanilla,238,-0.012469418977732313,-0.6300350999510101,248034361344.0,1.0,4.0807867377794575e+24,687500000.0
PHQ,idrnn,238,-0.011401133734791815,-0.11756952529829753,0.029536730656608334,0.9657034296570343,0.41370156304582395,0.588
PHQ,vanilla,238,-0.011454410220240387,-0.4398803507023795,0.0099334716796875,1.0,6884176260.581554,1422000.0
CEI,idrnn,238,0.004381784334558091,0.07418226250177287,0.26991625304656786,0.12238776122387761,0.1547938296278957,0.077
CEI,vanilla,238,0.016568042856006666,0.12874469883724815,1.1198830485381905,0.025697430256974303,0.5737660951762876,0.113
BIG5_open,idrnn,238,0.03234710843424439,0.18019960335134796,7.70504887728568,0.0032996700329967,3.863135858972175,0.173
BIG5_open,vanilla,238,0.006236669261984321,0.07900631121077983,0.29946582054894966,0.1110888911108889,0.1688617678355846,0.091
AxDep,idrnn,175,-0.014408226608131448,-0.6063875816683434,1100.0,1.0,1.0032947147209126e+16,60020000000.0
AxDep,vanilla,175,-0.015515997789214416,-0.6399218513801145,377856.0,1.0,3.476807315929653e+18,13360000000.0
posMood,idrnn,175,-0.013550095602665438,-0.40696086342208265,0.013780631823465228,1.0,502361.80443834537,34450.0
posMood,vanilla,175,-0.013679447953774529,-0.474167467211942,0.011955618858337402,1.0,272398683.3595048,1248000.0
negMood,idrnn,175,-0.01498705766484501,-0.516444599693416,0.01456451416015625,1.0,31481815754.418808,14.854
negMood,vanilla,175,-0.01937426561403612,-0.4525905332304759,0.012468591332435608,1.0,30849362.22402837,0.449
Exp,idrnn,175,-0.01821119130858597,-0.2288034089294941,0.023115700746810575,0.9993000699930007,9.400202411146056,10.153
Exp,vanilla,175,-0.013970682472738711,-0.5308508803587669,0.032470703125,1.0,186297616253.38962,224400.0
WM_composite,idrnn,177,0.11569070016373546,0.3401400802657924,7846.700344827824,9.999000099990002e-05,3923.3582214303124,0.915
WM_composite,vanilla,177,0.06996291533139312,0.27541887767849177,173.2898552055071,0.00029997000299970003,86.65466446299978,3.791
WM_OS,idrnn,177,-0.012401447238432901,-0.3142515837592356,0.017303383191347166,1.0,759.6141833563955,4112.035
WM_OS,vanilla,177,-0.016465776340007385,-0.16695118135498313,0.029536242089684528,0.9854014598540146,1.0857071967494563,7.586
WM_SS,idrnn,177,0.11064528008420547,0.3326361539753348,4794.85333841143,9.999000099990002e-05,2397.4348844147376,0.95
WM_SS,vanilla,177,0.07402893268448937,0.29114007587031876,400.61253414244396,0.00019998000199980003,200.31553478143934,7.937
WM_WMU,idrnn,177,0.11780447143535251,0.3432561917042594,9666.86019630534,9.999000099990002e-05,4833.438080046021,0.615
WM_WMU,vanilla,177,0.07258299078378545,0.2817171975646081,240.84585691185254,0.00019998000199980003,120.43247203183601,4.946
