T,model,dim,r2,r2_lo,r2_hi,auc,auc_lo,auc_hi
5,vanilla_mean,1,0.009376116037667994,0.0008542165711180507,0.10981066782690767,0.44387022108707797,0.3581151669035324,0.5246920714769386
5,vanilla_mean_full,15,0.023861089695128755,0.015905975361082278,0.08948380744067111,0.5444391234558047,0.47150121087126873,0.6119156391379053
5,vanilla_last,1,0.0066532312550800264,0.0007941166226348531,0.09463548458911693,0.40271237395908166,0.319753531509807,0.48295507654136327
5,vanilla_last_full,15,0.032298052150166005,0.023857090842874837,0.09494127153788516,0.5669978982094873,0.47610293374571394,0.6476351258986965
5,idrnn_step2_mean,1,0.07768087192693669,0.011689339475479225,0.2237167294093284,0.563989322549463,0.4879170395728733,0.6439426441813887
5,idrnn_step2_last,1,0.08748570725950115,0.020114331714003952,0.22874680592905358,0.5844330043188691,0.5043925545799159,0.6663382069914096
10,vanilla_mean,1,0.002939026595697244,0.0005813448979649248,0.08104384832583138,0.43804595560521814,0.3680287100583608,0.5153691273686862
10,vanilla_mean_full,15,0.03980453495803732,0.01828222523010026,0.12017657520543092,0.5275494186819911,0.45549191031459707,0.6045195230976403
10,vanilla_last,1,0.03391659630796823,0.0022328455092854847,0.16603063607250704,0.4239009941380442,0.34392448707330087,0.5057281537456946
10,vanilla_last_full,15,0.028096563285391254,0.019428590019106344,0.08911910924780683,0.4892493858692278,0.4033035924226952,0.5753671463012908
10,idrnn_step2_mean,1,0.08851929422644206,0.02100245831015516,0.24938012683964073,0.5563226647511107,0.48869999593609703,0.6379278417120685
10,idrnn_step2_last,1,0.09125893564451643,0.019660531280584995,0.24829959335129057,0.5116041893917224,0.45043173734101377,0.5893719302440167
15,vanilla_mean,1,0.06380271594069956,0.009917586960240051,0.21438270831687686,0.5054695329058806,0.4204503773989583,0.58712307712542
15,vanilla_mean_full,15,0.04694578516914416,0.023778071007055906,0.12396361267646916,0.5527598194411188,0.47091921195585457,0.632854690037728
15,vanilla_last,1,0.014928098507542982,0.0014006022901396345,0.09834437133850038,0.43991495286490895,0.3644957917798324,0.520340126876667
15,vanilla_last_full,15,0.03222173377928836,0.0228128535075509,0.09020322775213796,0.5134731866514131,0.43826813976201956,0.5894398218055913
