target,idrnn_pearson_mean,idrnn_pearson_sd,idrnn_spearman_mean,idrnn_spearman_sd,idrnn_loo_r_mean,idrnn_loo_r_sd,idrnn_loo_r2_mean,idrnn_loo_r2_sd,idrnn_best_pearson_mean,idrnn_best_pearson_sd,idrnn_frac_pos,vanilla_pearson_mean,vanilla_pearson_sd,vanilla_spearman_mean,vanilla_spearman_sd,vanilla_loo_r_mean,vanilla_loo_r_sd,vanilla_loo_r2_mean,vanilla_loo_r2_sd,vanilla_best_pearson_mean,vanilla_best_pearson_sd,vanilla_frac_pos
PANAS_PA,0.1848735702454612,0.04907815168520922,0.164218271857209,0.04387285122393176,0.03812622653867364,0.152361758425944,0.007227311174956841,0.013504529025979045,0.1547776521676109,0.0485264505717568,0.7,0.25813095459707697,0.007217009270589776,0.22010279440474342,0.01604578869961046,0.14522377483527624,0.018912557206200428,0.018001694147054347,0.009589706042154393,0.24938371472165155,0.00842846284580319,0.9
PANAS_NA,0.21289801134246197,0.06513542670842987,0.20672904127654693,0.057165749998195015,0.07236419754196576,0.18836532545877205,0.0177045639713036,0.02068452761813175,0.17048786142547392,0.05111057754665068,0.8,0.26464865291498624,0.005273208309387341,0.2353296575948336,0.02300462782498195,0.1320292873230117,0.02092005989750171,0.011250398745845536,0.010455636089951675,0.256651179913595,0.008028553051604503,0.8
STICSA,0.21124634261129094,0.028820398800836148,0.19133343966702526,0.021202961542931567,0.1208805947374477,0.053600215152607156,0.015058531018592202,0.013320581687462004,0.1616405962709146,0.02903485942325585,0.9,0.05316870500714412,0.012155340098586704,0.0905635159957566,0.020820743008967156,-0.5163098887171912,0.09015616827192666,-0.01271481304633928,0.0006095922322068379,0.04203088949102567,0.0074139668859290395,0.0
PHQ,0.1914668488128371,0.0379136848870219,0.1624562034319626,0.03414502488253283,0.050468001054381394,0.10870437043411925,0.004814333976890317,0.013880723694932451,0.14803196935550078,0.03920659211390049,0.6,0.05811503079010595,0.016083652498691814,0.007669337983490827,0.03730472390288218,-0.48805657122195256,0.1135468566719995,-0.012177432659639043,0.0007524715128062502,0.052816527377705105,0.013325717545910104,0.0
CEI,0.15359766925296442,0.05785432868809927,0.14948538269834127,0.0477895773851457,-0.1395311801313198,0.19100250166804614,-0.005716647395344776,0.016202032205246745,0.13128738923795757,0.05613041074550355,0.2,0.16580775861600466,0.016070823917469043,0.1460561122174135,0.02615678309903105,-0.0064520730401899495,0.11759891563847812,-0.009898769396520856,0.016096946279021286,0.1423320554886392,0.0142375391164383,0.4
BIG5_open,0.20224411862274624,0.059157338201867964,0.18090819306162137,0.03339499583944359,0.06167917150403035,0.17506462212746632,0.011610933277426294,0.01501201469788566,0.16192172474714875,0.04980838170700146,0.6,0.08320139744304685,0.01675075044636855,0.04319334229853838,0.02017650436668993,-0.3297341349956865,0.09039698269684607,-0.011047244216586715,0.0010713654308135774,0.06547275087068842,0.013107963058468999,0.0
AxDep,0.19936691708498677,0.02776958709155071,0.16446327810120914,0.032953841105642354,-0.0005156969885017126,0.15920033885397383,-0.005325390908167504,0.020384361413593042,0.1603304360186358,0.028416831110020472,0.6,0.11960505611458778,0.021405596521695467,0.053087550380653825,0.02333149531867405,-0.36914261958868383,0.10934276322011714,-0.013623507072596209,0.0013617743063594244,0.0886891290791402,0.026253771738409478,0.0
posMood,0.10477539158306952,0.030409417862407192,0.07346855592338628,0.043898407607241806,-0.4707563583154385,0.15842247735161544,-0.01741066400864464,0.010366686484212136,0.08695922551699786,0.034641568534692135,0.0,0.09981942516836038,0.03259413538622704,0.07057678976688016,0.0380566173118103,-0.4245976441345577,0.09636679715356787,-0.017180451630262182,0.00939030301822232,0.07412081825187246,0.019133059742173636,0.0
negMood,0.1566762125932083,0.06296072678874447,0.1467741819221446,0.04650199049651784,-0.1938821817731889,0.2203378684271506,-0.015038793166346199,0.02367039510038678,0.13480472311434105,0.06593568044854253,0.1,0.13863897617801865,0.033353637514421705,0.18404858753903242,0.03612555196325937,-0.20237960773126265,0.17545186933355128,-0.020080325469577408,0.006905810916528882,0.1145912839091829,0.023098027810293024,0.0
Exp,0.17786961921422248,0.029515083274638285,0.1670573219883565,0.029696959723223466,-0.017893146379038764,0.1281150967535163,-0.004612508136374283,0.010481664634574126,0.142088169439261,0.03047269305834584,0.3,0.07644058071623584,0.03164604919924486,0.08095835199283476,0.036815493172168146,-0.6120069267905335,0.20726130825303843,-0.015379219152950707,0.0009500364831144512,0.05929433039411158,0.03234882152891789,0.0
