subid,nll_idrnn_task0,nll_idrnn_task1,nll_idrnn_all,nll_cp_rnn_task0,nll_cp_rnn_task1,nll_cp_rnn_all,nll_vanilla_task0,nll_vanilla_task1,nll_vanilla_all,nll_cog_em,nll_cog_cp,nll_ill_em,nll_ill_cp
2,0.4819883406162262,0.4288516640663147,0.46073368191719055,0.4089563488960266,0.4323993921279907,0.4183335602283478,0.38545235991477966,0.40134865045547485,0.39181089401245117,0.4596510816781503,0.4867822808201852,0.4455062573808338,0.5213525309345453
3,0.44092151522636414,0.8276245594024658,0.5956027507781982,0.4519883990287781,0.830944299697876,0.603570818901062,0.420328289270401,0.7970016598701477,0.5709975957870483,0.6522998141393186,0.7121355324965702,0.7494623076972282,0.7446366946137846
4,0.3322571814060211,0.6422011256217957,0.45623472332954407,0.34608009457588196,0.6443971395492554,0.46540695428848267,0.2937335669994354,0.5919894576072693,0.41303589940071106,0.5916700721944176,0.6040733196180618,0.6263096316772742,0.6458678545466464
6,0.4782683551311493,0.7136938571929932,0.5724385976791382,0.47483718395233154,0.7066279053688049,0.5675535202026367,0.466751366853714,0.7038132548332214,0.5615761280059814,0.6124964591782545,0.6399863544682808,0.6640817843875708,0.674932368895934
7,0.7195389270782471,1.1031925678253174,0.87300044298172,0.7186065912246704,1.1272342205047607,0.8820577263832092,0.655849814414978,1.0553206205368042,0.8156382441520691,0.8283310576841186,0.8778568898066987,0.8604973925719123,0.8812427992671774
8,0.653581976890564,0.7878401279449463,0.707285463809967,0.6605073809623718,0.7885814905166626,0.7117370367050171,0.533687949180603,0.7589014172554016,0.6237733960151672,0.7302825135858566,0.7227906831414405,0.7474246598228819,0.7531329601486598
10,0.6821891069412231,0.8947899341583252,0.7672293782234192,0.6362327337265015,0.9144879579544067,0.7475346922874451,0.4916061460971832,0.7664921879768372,0.6015605926513672,0.7212666325136948,0.7617862745197285,0.7224025412068897,0.7188713794567588
11,0.47298309206962585,0.48626944422721863,0.47829756140708923,0.46563640236854553,0.5004329085350037,0.4795549213886261,0.4388488829135895,0.47396352887153625,0.4528946876525879,0.6099811886805884,0.6155425242064952,0.7194402636946888,0.7182121300340844
12,0.37118712067604065,0.72093665599823,0.5110868811607361,0.3829500377178192,0.7185856699943542,0.5172042846679688,0.3240705132484436,0.6996439695358276,0.47429993748664856,0.6594049855876584,0.6655900262927417,0.6960210520903914,0.6958389656350384
13,0.4399868845939636,0.967171847820282,0.6508608460426331,0.45045045018196106,0.9794483184814453,0.6620496511459351,0.42554399371147156,0.9731802344322205,0.6445986032485962,0.6982705390111512,0.7108583485688564,0.7310232876616485,0.7311464924346981
14,0.44378119707107544,0.947493314743042,0.6452659964561462,0.45991456508636475,0.963028073310852,0.661159873008728,0.4073004424571991,0.941866934299469,0.6211269497871399,0.7187182238166508,0.7295003702214822,0.7561690450877449,0.750965854444451
16,0.5413919687271118,1.3115555047988892,0.8494573831558228,0.5637643337249756,1.3457740545272827,0.8765681982040405,0.4593537747859955,1.1863791942596436,0.7501640319824219,0.8495031961163202,0.8558691054954076,0.8407077324545671,0.8559397527438448
17,0.38341495394706726,0.8801344633102417,0.5821027159690857,0.3423888087272644,0.9049896597862244,0.5674291253089905,0.30187833309173584,0.7708349823951721,0.4894609749317169,0.6579325373502144,0.6666345755160515,0.6717724562339215,0.6712300139313386
